,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,249.2,250.25,399.0,short,418.95,0.41895,100418.95,,418.95
2,249.07,249.07,0.0,long,0.0,0.0,100418.95,sl,0.0
3,249.07,249.44,403.0,long,149.11,0.14848790990146782,100568.06,sl,149.11
4,249.57,249.57,0.0,long,0.0,0.0,100568.06,sl,0.0
5,249.57,249.15,402.0,long,-168.84,-0.16788630505550173,100399.22,sl,-168.84
6,247.97,247.8,404.0,long,-68.68,-0.06840690595006615,100330.54000000001,sl,-68.68
7,247.51,250.49,405.0,long,1206.9,1.20292385548807,101537.44,sl,1206.9
8,249.57,250.58,405.0,short,409.05,0.40285632570606467,101946.49,sl,409.05
9,248.69,249.54,408.0,short,346.8,0.34017846028833365,102293.29000000001,sl,346.8
10,245.34,248.31,411.0,short,1220.67,1.1933040769340784,103513.96,sl,1220.67
11,246.11,245.0,422.0,short,-468.42,-0.4525186747758467,103045.54000000001,sl,-468.42
12,244.58,246.13,418.0,short,647.9,0.6287511327515969,103693.44,sl,647.9
13,244.41,244.21,424.0,short,-84.8,-0.08177952240758914,103608.64,sl,-84.8
14,244.2,244.21,424.0,short,4.24,0.004092322802422656,103612.88,sl,4.24
15,244.03,244.14,424.0,short,46.64,0.045013708720383024,103659.52,sl,46.64
16,247.64,243.76,425.0,short,-1649.0,-1.590784908130001,102010.52,sl,-1649.0
17,248.27,247.45,412.0,short,-337.84,-0.331181529120722,101672.68000000001,sl,-337.84
18,248.68,248.49,409.0,short,-77.71,-0.07643154483583986,101594.97,sl,-77.71
19,249.3,248.73,408.0,short,-232.56,-0.22890897059175275,101362.41,sl,-232.56
20,249.36,249.14,406.0,short,-89.32,-0.08811945177704436,101273.09,sl,-89.32
21,249.85,249.32,406.0,short,-215.18,-0.21247500199707545,101057.91,sl,-215.18
22,251.75,254.05,401.0,long,922.3,0.9126450368902344,101980.21,sl,922.3
23,254.18,253.6,401.0,long,-232.58,-0.22806385670317797,101747.63,sl,-232.58
24,253.56,253.66,401.0,short,40.1,0.03941123739196677,101787.73000000001,sl,40.1
25,253.69,253.51,401.0,short,-72.18,-0.07091227989856931,101715.55000000002,sl,-72.18
26,254.01,253.36,401.0,short,-260.65,-0.2562538372942976,101454.90000000002,sl,-260.65
27,249.98,253.72,405.0,long,1514.7,1.492978653569221,102969.60000000002,sl,1514.7
28,253.4,252.47,406.0,long,-377.58,-0.3666907514450866,102592.02000000002,sl,-377.58
29,252.1,250.07,406.0,long,-824.18,-0.8033568302875796,101767.84000000003,sl,-824.18
