,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,19.42,19.49,5130.0,short,359.1,0.35910000000000003,100359.1,,359.1
2,19.46,19.41,5170.0,short,-258.5,-0.2575750480026226,100100.6,sl,-258.5
3,19.45,19.4,5159.0,short,-257.95,-0.2576907630923291,99842.65000000001,sl,-257.95
4,19.31,19.42,5141.0,short,565.51,0.5664012323390856,100408.16,sl,565.51
5,19.18,19.3,5202.0,short,624.24,0.6217024592423565,101032.40000000001,sl,624.24
6,19.25,19.16,5273.0,short,-474.57,-0.46972060447935504,100557.83,sl,-474.57
7,19.32,19.28,5215.0,short,-208.6,-0.2074428217076681,100349.23,sl,-208.6
8,19.4,19.32,5194.0,short,-415.52,-0.41407392961560346,99933.70999999999,sl,-415.52
9,19.75,19.75,5059.0,short,0.0,0.0,99933.70999999999,sl,0.0
10,19.73,20.15,5065.0,long,2127.3,2.128711122603174,102061.01,sl,2127.3
11,20.17,20.09,5060.0,long,-404.8,-0.39662550860509804,101656.20999999999,sl,-404.8
12,20.0,19.96,5082.0,long,-203.28,-0.19996810819525931,101452.93,sl,-203.28
13,19.48,19.59,5178.0,short,569.58,0.5614229179975384,102022.51,sl,569.58
14,19.51,19.48,5237.0,short,-157.11,-0.15399542708761038,101865.4,sl,-157.11
15,19.66,19.55,5210.0,short,-573.1,-0.5626051632840985,101292.29999999999,sl,-573.1
16,19.36,19.75,5232.0,long,2040.48,2.0144472975734584,103332.77999999998,sl,2040.48
17,19.73,19.66,5237.0,long,-366.59,-0.35476641584596874,102966.18999999999,sl,-366.59
18,19.66,19.47,5237.0,long,-995.03,-0.9663657555941422,101971.15999999999,sl,-995.03
19,19.39,19.4,5258.0,long,52.58,0.0515635989626871,102023.73999999999,sl,52.58
20,19.41,19.35,5256.0,long,-315.36,-0.3091045280245559,101708.37999999999,sl,-315.36
21,19.43,19.39,5234.0,long,-209.36,-0.2058434123127318,101499.01999999999,sl,-209.36
22,19.41,19.37,5229.0,long,-209.16,-0.20607095516784305,101289.85999999999,sl,-209.16
23,19.48,19.55,5181.0,short,362.67,0.3580516351784868,101652.52999999998,sl,362.67
24,19.3,19.44,5229.0,short,732.06,0.7201591539335027,102384.58999999998,sl,732.06
25,19.33,19.26,5315.0,short,-372.05,-0.36338476327345753,102012.53999999998,sl,-372.05
26,19.35,19.37,5266.0,short,105.32,0.10324220924211869,102117.85999999999,sl,105.32
27,19.45,19.29,5293.0,short,-846.88,-0.8293162430156684,101270.97999999998,sl,-846.88
28,19.43,19.46,5204.0,short,156.12,0.15416064898354892,101427.09999999998,sl,156.12
29,19.48,19.43,5220.0,short,-261.0,-0.25732767672545115,101166.09999999998,sl,-261.0
