,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,19.55,19.57,5109.0,short,102.18,0.10218,100102.18,,102.18
2,19.76,19.76,5065.0,short,0.0,0.0,100102.18,sl,0.0
3,19.44,19.37,5149.0,long,-360.43,-0.36006208855791155,99741.75,sl,-360.43
4,19.31,19.14,5165.0,long,-878.05,-0.8803234352715887,98863.7,sl,-878.05
5,19.12,19.35,5170.0,long,1189.1,1.2027670418970766,100052.8,sl,1189.1
6,19.44,19.42,5146.0,long,-102.92,-0.10286568691730766,99949.88,sl,-102.92
7,19.74,19.65,5086.0,short,-457.74,-0.4579695343306065,99492.14,sl,-457.74
8,19.75,19.76,5035.0,short,50.35,0.05060701277507953,99542.49,sl,50.35
9,20.2,20.13,4944.0,short,-346.08,-0.34767062788965797,99196.41,sl,-346.08
10,20.02,19.96,4954.0,long,-297.24,-0.29964794088818336,98899.17,sl,-297.24
11,20.3,20.41,4845.0,short,532.95,0.5388821766653856,99432.12,sl,532.95
12,20.36,20.39,4876.0,short,146.28,0.1471154391558784,99578.4,sl,146.28
13,19.42,20.44,4871.0,short,4968.42,4.989455544575932,104546.81999999999,sl,4968.42
14,19.48,19.6,5334.0,short,640.08,0.6122424383639791,105186.9,sl,640.08
15,19.63,19.52,5388.0,short,-592.68,-0.5634541943911267,104594.22,sl,-592.68
16,19.65,19.58,5341.0,short,-373.87,-0.3574480501886242,104220.35,sl,-373.87
17,19.74,19.73,5282.0,short,-52.82,-0.05068108099809682,104167.53,sl,-52.82
18,19.53,19.88,5239.0,short,1833.65,1.7602894107213642,106001.18,sl,1833.65
19,19.47,19.45,5449.0,short,-108.98,-0.10281017626407557,105892.2,sl,-108.98
20,19.67,19.62,5383.0,long,-269.15,-0.25417358407890284,105623.05,sl,-269.15
21,19.64,19.59,5377.0,long,-268.85,-0.25453724352780954,105354.2,sl,-268.85
22,19.35,19.39,5444.0,long,217.76,0.20669323102448695,105571.95999999999,sl,217.76
23,19.7,19.73,5358.0,long,160.74,0.15225633776241343,105732.7,sl,160.74
24,19.69,19.62,5389.0,short,-377.23,-0.35677704248543735,105355.47,sl,-377.23
25,19.52,19.48,5408.0,short,-216.32,-0.20532393809263058,105139.15,sl,-216.32
26,19.3,19.27,5447.0,long,-163.41,-0.15542259947888107,104975.73999999999,sl,-163.41
27,18.75,18.68,5619.0,short,-393.33,-0.37468657043998926,104582.40999999999,sl,-393.33
28,18.55,18.51,5650.0,short,-226.0,-0.21609752538691737,104356.40999999999,sl,-226.0
29,18.5,18.53,5640.0,long,169.2,0.16213666223282308,104525.60999999999,sl,169.2
30,18.41,18.43,5677.0,long,113.54,0.10862409700359558,104639.14999999998,sl,113.54
31,18.41,18.38,5683.0,long,-170.49,-0.1629313693775227,104468.65999999997,sl,-170.49
32,17.99,17.99,5807.0,long,0.0,0.0,104468.65999999997,sl,0.0
33,18.0,18.01,5803.0,long,58.03,0.05554775949074106,104526.68999999997,sl,58.03
34,18.17,18.11,5752.0,long,-345.12,-0.33017404454307325,104181.56999999998,sl,-345.12
35,18.41,18.35,5677.0,short,-340.62,-0.32694842283524816,103840.94999999998,sl,-340.62
36,18.56,18.52,5606.0,short,-224.24,-0.21594563609057893,103616.70999999998,sl,-224.24
37,18.84,18.78,5517.0,short,-331.02,-0.31946584677317014,103285.68999999997,sl,-331.02
38,18.92,18.85,5479.0,short,-383.53,-0.37132927126691034,102902.15999999997,sl,-383.53
39,19.73,19.95,5158.0,short,1134.76,1.1027562492371397,104036.91999999997,sl,1134.76
40,18.26,18.33,5697.0,long,398.79,0.3833158459516104,104435.70999999996,sl,398.79
41,18.13,17.96,5760.0,long,-979.2,-0.9376103250506942,103456.50999999997,sl,-979.2
42,18.49,18.43,5613.0,short,-336.78,-0.3255280890492054,103119.72999999997,sl,-336.78
43,18.39,18.54,5607.0,long,841.05,0.815605316266829,103960.77999999997,sl,841.05
44,18.51,18.62,5616.0,long,617.76,0.594224091046643,104578.53999999996,sl,617.76
45,18.76,18.76,5574.0,long,0.0,0.0,104578.53999999996,sl,0.0
46,18.76,18.82,5574.0,long,334.44,0.31979792412477753,104912.97999999997,sl,334.44
47,18.88,19.0,5521.0,short,662.52,0.6314947873942769,105575.49999999997,sl,662.52
48,18.83,18.79,5606.0,long,-224.24,-0.2123977627385142,105351.25999999997,sl,-224.24
49,18.68,18.67,5639.0,long,-56.39,-0.053525700594373546,105294.86999999997,sl,-56.39
50,18.92,18.84,5565.0,long,-445.2,-0.42281262135562736,104849.66999999997,sl,-445.2
51,18.75,18.68,5591.0,long,-391.37,-0.3732677460978181,104458.29999999997,sl,-391.37
