,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,484.79,485.15,206.0,short,74.16,0.07415999999999999,100074.16,,74.16
2,483.19,485.07,206.0,short,387.28,0.3869930059867602,100461.44,sl,387.28
3,500.39,499.1,201.0,short,-259.29,-0.2580990278459079,100202.15000000001,sl,-259.29
4,494.92,490.49,202.0,long,-894.86,-0.8930546899442776,99307.29000000001,sl,-894.86
5,489.39,488.4,202.0,long,-199.98,-0.20137494437719525,99107.31000000001,sl,-199.98
6,510.32,507.89,195.0,short,-473.85,-0.4781181125791831,98633.46,sl,-473.85
7,511.98,517.79,190.0,short,1103.9,1.1191942369252788,99737.36,sl,1103.9
8,506.46,503.72,196.0,long,-537.04,-0.5384541961006387,99200.32,sl,-537.04
9,483.47,484.06,205.0,long,120.95,0.12192500991932284,99321.27,sl,120.95
10,484.22,496.54,205.0,long,2525.6,2.542859147894504,101846.87000000001,sl,2525.6
11,494.42,495.0,205.0,long,118.9,0.11674389208033589,101965.77,sl,118.9
12,495.66,493.8,205.0,long,-381.3,-0.37394902230424976,101584.47,sl,-381.3
13,484.85,481.67,209.0,long,-664.62,-0.6542535487954015,100919.85,sl,-664.62
14,491.29,488.98,206.0,short,-475.86,-0.47152269845823197,100443.99,sl,-475.86
15,496.41,497.3,202.0,long,179.78,0.17898532306412757,100623.77,sl,179.78
16,511.48,505.14,199.0,short,-1261.66,-1.2538389289131187,99362.11,sl,-1261.66
17,507.75,506.6,195.0,long,-224.25,-0.2256896517193526,99137.86,sl,-224.25
18,508.89,508.54,194.0,short,-67.9,-0.0684904838575293,99069.96,sl,-67.9
19,493.64,489.15,200.0,long,-898.0,-0.906430163088791,98171.96,sl,-898.0
20,491.67,490.12,200.0,short,-310.0,-0.3157724466334379,97861.96,sl,-310.0
21,494.04,503.61,198.0,long,1894.86,1.936257969899642,99756.82,sl,1894.86
22,522.74,520.78,191.0,short,-374.36,-0.37527258787920464,99382.46,sl,-374.36
23,521.36,515.37,190.0,long,-1138.1,-1.1451718945174025,98244.36,sl,-1138.1
24,528.31,525.27,187.0,short,-568.48,-0.578638814482582,97675.88,sl,-568.48
25,520.4,520.07,187.0,long,-61.71,-0.06317834044597294,97614.17,sl,-61.71
26,514.5,514.8,189.0,short,56.7,0.0580858291373066,97670.87,sl,56.7
27,520.51,520.45,187.0,short,-11.22,-0.011487560211145864,97659.65,sl,-11.22
28,523.35,522.59,186.0,short,-141.36,-0.14474760046754215,97518.29,sl,-141.36
29,516.33,513.75,188.0,long,-485.04,-0.497383619011367,97033.25,sl,-485.04
30,513.3,510.2,189.0,long,-585.9,-0.6038136412003102,96447.35,sl,-585.9
31,497.12,493.86,194.0,long,-632.44,-0.655736005188323,95814.91,sl,-632.44
32,490.53,507.45,195.0,long,3299.4,3.4435141670539586,99114.31,sl,3299.4
33,504.25,501.39,196.0,long,-560.56,-0.5655691897567565,98553.75,sl,-560.56
34,495.92,502.06,196.0,short,1203.44,1.221100161079614,99757.19,sl,1203.44
35,483.22,482.73,206.0,long,-100.94,-0.10118568897139144,99656.25,sl,-100.94
36,476.64,485.09,209.0,long,1766.05,1.7721417372216997,101422.3,sl,1766.05
37,495.03,491.65,206.0,short,-696.28,-0.6865156873784167,100726.02,sl,-696.28
38,487.02,417.19,206.0,long,-14384.98,-14.28129494245876,86341.04000000001,sl,-14384.98
39,442.15,442.9,194.0,short,145.5,0.16851777555609707,86486.54000000001,sl,145.5
40,432.62,442.29,195.0,short,1885.65,2.1802814634508443,88372.19,sl,1885.65
41,430.76,433.58,203.0,short,572.46,0.6477829733539476,88944.65000000001,sl,572.46
42,430.8,431.3,206.0,long,103.0,0.11580235573471817,89047.65000000001,sl,103.0
43,437.31,440.77,203.0,long,702.38,0.7887687097862772,89750.03000000001,sl,702.38
44,453.79,449.69,199.0,short,-815.9,-0.9090804760733783,88934.13000000002,sl,-815.9
45,451.5,449.49,196.0,long,-393.96,-0.4429795400258595,88540.17000000001,sl,-393.96
46,460.26,459.15,192.0,short,-213.12,-0.2407043040464006,88327.05000000002,sl,-213.12
47,469.17,466.46,189.0,short,-512.19,-0.5798789838446999,87814.86000000002,sl,-512.19
48,471.15,468.31,187.0,short,-531.08,-0.6047723585734806,87283.78000000001,sl,-531.08
49,467.11,470.48,185.0,short,623.45,0.7142793311655383,87907.23000000001,sl,623.45
50,474.59,472.17,186.0,short,-450.12,-0.5120397946790042,87457.11000000002,sl,-450.12
51,476.12,475.12,184.0,short,-184.0,-0.21038884088440604,87273.11000000002,sl,-184.0
52,469.58,477.24,185.0,long,1417.1,1.6237532958319003,88690.21000000002,sl,1417.1
53,477.12,474.16,185.0,long,-547.6,-0.6174300410383513,88142.61000000002,sl,-547.6
54,468.81,469.68,188.0,long,163.56,0.1855629190013774,88306.17000000001,sl,163.56
