,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,2.3,2.34,42735.0,short,1709.4,1.7094000000000003,101709.4,,1709.4
2,2.3,2.28,44609.0,short,-892.18,-0.8771853928938721,100817.22,sl,-892.18
3,2.16,2.26,44609.0,short,4460.9,4.424740138639014,105278.12,sl,4460.9
4,2.1,2.18,48292.0,short,3863.36,3.6696703930503323,109141.48,sl,3863.36
5,2.07,2.09,52220.0,short,1044.4,0.9569230690293005,110185.87999999999,sl,1044.4
6,2.08,2.06,53488.0,short,-1069.76,-0.9708684996662005,109116.12,sl,-1069.76
7,2.09,2.08,52459.0,short,-524.59,-0.4807630623229639,108591.53,sl,-524.59
8,2.12,2.1,51710.0,short,-1034.2,-0.9523763041187467,107557.33,sl,-1034.2
9,2.11,2.14,50260.0,short,1507.8,1.4018570375445354,109065.13,sl,1507.8
10,2.14,2.12,51445.0,short,-1028.9,-0.9433812621870987,108036.23000000001,sl,-1028.9
11,2.16,2.18,49557.0,short,991.14,0.9174144636479817,109027.37000000001,sl,991.14
12,2.19,2.16,50475.0,short,-1514.25,-1.3888714365943156,107513.12000000001,sl,-1514.25
13,1.94,1.96,54853.0,short,1097.06,1.0203963944121424,108610.18000000001,sl,1097.06
14,1.95,1.94,55984.0,short,-559.84,-0.5154581274057367,108050.34000000001,sl,-559.84
15,1.98,1.96,55127.0,short,-1102.54,-1.0203947530382598,106947.80000000002,sl,-1102.54
16,2.02,1.99,53742.0,short,-1612.26,-1.5075204913051037,105335.54000000002,sl,-1612.26
17,1.98,2.01,53199.0,long,1595.97,1.515129651397809,106931.51000000002,sl,1595.97
18,2.0,1.96,53465.0,long,-2138.6,-1.9999717576231733,104792.91000000002,sl,-2138.6
19,2.32,2.48,45169.0,long,7227.04,6.896497100805769,112019.95000000001,sl,7227.04
20,2.46,2.46,0.0,long,0.0,0.0,112019.95000000001,sl,0.0
21,2.46,2.47,45536.0,long,455.36,0.4064990209333248,112475.31000000001,sl,455.36
22,2.47,2.47,0.0,long,0.0,0.0,112475.31000000001,sl,0.0
23,2.47,2.26,45536.0,long,-9562.56,-8.501919221205078,102912.75000000001,sl,-9562.56
24,2.26,2.26,0.0,long,0.0,0.0,102912.75000000001,sl,0.0
25,2.26,2.2,45536.0,long,-2732.16,-2.6548313984418836,100180.59000000001,sl,-2732.16
26,2.19,2.19,0.0,long,0.0,0.0,100180.59000000001,sl,0.0
27,2.19,2.16,45744.0,long,-1372.32,-1.3698461947568883,98808.27,sl,-1372.32
28,2.17,2.17,0.0,long,0.0,0.0,98808.27,sl,0.0
29,2.17,2.17,45533.0,long,0.0,0.0,98808.27,sl,0.0
30,2.2,2.15,45957.0,short,-2297.85,-2.325564449210577,96510.42,sl,-2297.85
31,2.18,2.18,44270.0,short,0.0,0.0,96510.42,sl,0.0
32,2.2,2.18,44270.0,short,-885.4,-0.9174138916813336,95625.02,sl,-885.4
33,2.25,2.2,43465.0,short,-2173.25,-2.2726792632304806,93451.77,sl,-2173.25
34,2.75,2.91,33982.0,long,5437.12,5.818102749685747,98888.89,sl,5437.12
35,3.02,3.87,32744.0,long,27832.4,28.14512327926828,126721.29000000001,sl,27832.4
36,3.78,3.85,33524.0,long,2346.68,1.8518435221106095,129067.97,sl,2346.68
37,3.25,3.0,39713.0,long,-9928.25,-7.692264781107195,119139.72,sl,-9928.25
38,2.99,3.15,39846.0,long,6375.36,5.3511624838466965,125515.08,sl,6375.36
39,3.23,3.17,38859.0,long,-2331.54,-1.8575775914734707,123183.54000000001,sl,-2331.54
40,3.12,3.05,39481.0,long,-2763.67,-2.243538381832508,120419.87000000001,sl,-2763.67
41,3.06,3.88,39352.0,long,32268.64,26.79677365537764,152688.51,sl,32268.64
42,3.9,3.73,39150.0,long,-6655.5,-4.358874154970796,146033.01,sl,-6655.5
43,3.13,3.17,46067.0,short,1842.68,1.2618242957534054,147875.69,sl,1842.68
44,3.05,3.16,46796.0,short,5147.56,3.481004889985636,153023.25,sl,5147.56
45,2.95,3.05,50171.0,short,5017.1,3.2786521002527396,158040.35,sl,5017.1
46,3.03,2.93,53938.0,short,-5393.8,-3.412925876208196,152646.55000000002,sl,-5393.8
47,3.0,3.01,50713.0,short,507.13,0.3322249995168577,153153.68000000002,sl,507.13
48,3.1,3.0,51051.0,short,-5105.1,-3.333318533384245,148048.58000000002,sl,-5105.1
49,2.74,2.85,51946.0,short,5714.06,3.859584468827732,153762.64,sl,5714.06
50,2.87,2.74,56117.0,short,-7295.21,-4.744461983743255,146467.43000000002,sl,-7295.21
51,2.84,2.77,52876.0,short,-3701.32,-2.5270601115893134,142766.11000000002,sl,-3701.32
52,2.67,2.83,50447.0,short,8071.52,5.6536666860223335,150837.63,sl,8071.52
53,2.8,2.7,55865.0,short,-5586.5,-3.703651403167764,145251.13,sl,-5586.5
54,2.88,3.03,50434.0,long,7565.1,5.208289945833812,152816.23,sl,7565.1
55,3.09,3.1,49455.0,long,494.55,0.32362400250287554,153310.78,sl,494.55
56,2.36,2.57,59654.0,short,12527.34,8.171206225680933,165838.12,sl,12527.34
57,2.45,2.35,70569.0,short,-7056.9,-4.2552942592451,158781.22,sl,-7056.9
58,2.41,2.4,66158.0,short,-661.58,-0.4166613658718582,158119.64,sl,-661.58
59,2.36,2.38,66436.0,short,1328.72,0.8403257179184066,159448.36000000002,sl,1328.72
60,2.34,2.41,66161.0,short,4631.27,2.904557939636381,164079.63,sl,4631.27
61,2.25,2.27,72281.0,short,1445.62,0.8810478180624857,165525.25,sl,1445.62
62,2.15,2.2,75238.0,short,3761.9,2.272704617573452,169287.15,sl,3761.9
63,2.04,2.16,78373.0,short,9404.76,5.555507314051894,178691.91,sl,9404.76
64,2.04,2.04,87594.0,short,0.0,0.0,178691.91,sl,0.0
65,2.24,2.27,79773.0,long,2393.19,1.3392827912578695,181085.1,sl,2393.19
