,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,3.09,3.1,32258.0,short,322.58,0.32258,100322.58,,322.58
2,3.12,3.1,32362.0,short,-647.24,-0.6451588465926613,99675.34,sl,-647.24
3,3.03,3.02,32896.0,long,-328.96,-0.3300314802036291,99346.37999999999,sl,-328.96
4,2.68,2.55,37069.0,long,-4818.97,-4.850674981816147,94527.40999999999,sl,-4818.97
5,2.55,2.51,37069.0,long,-1482.76,-1.5686032231286147,93044.65,sl,-1482.76
6,2.37,2.32,39259.0,long,-1962.95,-2.1096860485799023,91081.7,sl,-1962.95
7,2.1,2.06,43372.0,long,-1734.88,-1.9047514484248758,89346.81999999999,sl,-1734.88
8,2.23,2.17,41173.0,short,-2470.38,-2.7649333238720755,86876.43999999999,sl,-2470.38
9,2.44,2.36,36812.0,short,-2944.96,-3.3898258261963776,83931.47999999998,sl,-2944.96
10,2.25,2.2,37302.0,long,-1865.1,-2.2221697985070685,82066.37999999998,sl,-1865.1
11,2.72,2.68,30621.0,short,-1224.84,-1.4924991208336476,80841.53999999998,sl,-1224.84
12,4.2,3.87,19247.0,long,-6351.51,-7.856740482677596,74490.02999999998,sl,-6351.51
13,3.89,3.95,18858.0,short,1131.48,1.5189683773788254,75621.50999999998,sl,1131.48
14,3.42,3.25,22111.0,long,-3758.87,-4.970636000259716,71862.63999999998,sl,-3758.87
15,3.59,3.46,20769.0,short,-2699.97,-3.7571260950056944,69162.66999999998,sl,-2699.97
16,3.38,3.59,19265.0,short,4045.65,5.849470530851399,73208.31999999998,sl,4045.65
17,3.02,3.2,22877.0,short,4117.86,5.6248524757841745,77326.17999999998,sl,4117.86
18,3.53,3.4,22742.0,short,-2956.46,-3.823362281700714,74369.71999999997,sl,-2956.46
19,4.21,4.08,18227.0,short,-2369.51,-3.1861219862062153,72000.20999999998,sl,-2369.51
20,4.03,4.1,17561.0,short,1229.27,1.707314464777256,73229.47999999998,sl,1229.27
21,3.29,3.24,22258.0,long,-1112.9,-1.5197431416964866,72116.57999999999,sl,-1112.9
22,2.88,2.81,25040.0,long,-1752.8,-2.4305090452154,70363.77999999998,sl,-1752.8
23,2.82,2.82,24951.0,long,0.0,0.0,70363.77999999998,sl,0.0
24,2.62,2.72,26856.0,long,2685.6,3.8167363947758353,73049.37999999999,sl,2685.6
25,2.58,2.66,27462.0,short,2196.96,3.0074998583150196,75246.34,sl,2196.96
26,2.89,2.95,25507.0,short,1530.42,2.0338796544788758,76776.76,sl,1530.42
27,3.06,2.89,26566.0,short,-4516.22,-5.882274792528365,72260.54,sl,-4516.22
28,3.24,3.36,22302.0,long,2676.24,3.7035981186965947,74936.78,sl,2676.24
29,2.57,2.5,29158.0,long,-2041.06,-2.7237092386408914,72895.72,sl,-2041.06
30,2.15,2.14,33904.0,long,-339.04,-0.46510275226035225,72556.68000000001,sl,-339.04
31,2.04,2.04,35567.0,long,0.0,0.0,72556.68000000001,sl,0.0
32,2.29,2.19,33130.0,short,-3313.0,-4.5660854383083676,69243.68000000001,sl,-3313.0
