,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,58.88,59.14,1698.0,long,441.48,0.44148,100441.48,,441.48
2,59.18,58.97,1697.0,long,-356.37,-0.35480361300928664,100085.11,sl,-356.37
3,59.67,59.5,1682.0,short,-285.94,-0.28569684341656815,99799.17,sl,-285.94
4,59.29,59.64,1673.0,short,585.55,0.5867283264981061,100384.72,sl,585.55
5,59.3,59.17,1696.0,short,-220.48,-0.2196350201504771,100164.24,sl,-220.48
6,59.35,59.19,1692.0,short,-270.72,-0.27027609853576484,99893.52,sl,-270.72
7,58.89,58.93,1696.0,long,67.84,0.06791231303091533,99961.36,sl,67.84
8,59.41,60.9,1682.0,long,2506.18,2.507148762281745,102467.54,sl,2506.18
9,60.88,60.67,1683.0,long,-353.43,-0.3449189860515828,102114.11,sl,-353.43
10,60.83,60.38,1678.0,long,-755.1,-0.7394668572247264,101359.01,sl,-755.1
11,60.38,60.3,1678.0,long,-134.24,-0.13244012545110692,101224.76999999999,sl,-134.24
12,60.28,60.04,1679.0,long,-402.96,-0.3980843819156122,100821.80999999998,sl,-402.96
13,60.07,59.77,1678.0,long,-503.4,-0.49929672954691057,100318.40999999999,sl,-503.4
14,60.65,60.62,1654.0,short,-49.62,-0.04946250643326584,100268.79,sl,-49.62
15,60.67,60.59,1654.0,short,-132.32,-0.13196529049567668,100136.46999999999,sl,-132.32
16,60.31,60.43,1657.0,short,198.84,0.19856901286813888,100335.30999999998,sl,198.84
17,60.38,60.27,1664.0,short,-183.04,-0.18242829966838198,100152.26999999999,sl,-183.04
18,60.08,60.31,1660.0,short,381.8,0.3812195170414011,100534.06999999999,sl,381.8
19,60.19,60.13,1671.0,short,-100.26,-0.09972738594985761,100433.81,sl,-100.26
20,60.12,60.12,1670.0,short,0.0,0.0,100433.81,sl,0.0
21,60.22,60.17,1669.0,short,-83.45,-0.08308954922650053,100350.36,sl,-83.45
22,60.42,60.21,1666.0,short,-349.86,-0.34863851011595776,100000.5,sl,-349.86
23,59.38,59.55,1679.0,short,285.43,0.2854285728571357,100285.93,sl,285.43
24,59.13,59.28,1691.0,short,253.65,0.2529268063825105,100539.57999999999,sl,253.65
25,59.12,59.06,1702.0,short,-102.12,-0.10157193813620467,100437.45999999999,sl,-102.12
26,59.24,59.03,1701.0,short,-357.21,-0.3556541553320843,100080.24999999999,sl,-357.21
27,59.33,59.31,1687.0,short,-33.74,-0.03371294536134753,100046.50999999998,sl,-33.74
28,59.27,59.31,1686.0,short,67.44,0.06740864823770466,100113.94999999998,sl,67.44
29,59.23,59.15,1690.0,long,-135.2,-0.13504611495201221,99978.74999999999,sl,-135.2
30,56.76,57.04,1752.0,short,490.56,0.4906642661565584,100469.30999999998,sl,490.56
31,57.04,56.81,1768.0,short,-406.64,-0.40474051230171687,100062.66999999998,sl,-406.64
32,56.36,56.81,1761.0,short,792.45,0.7919536826270979,100855.11999999998,sl,792.45
33,56.34,56.29,1791.0,short,-89.55,-0.08879073268664993,100765.56999999998,sl,-89.55
34,56.7,56.45,1785.0,short,-446.25,-0.44285959976210143,100319.31999999998,sl,-446.25
35,56.62,56.42,1778.0,short,-355.6,-0.35446811242340964,99963.71999999997,sl,-355.6
36,55.75,56.6,1766.0,short,1501.1,1.5016447967322548,101464.81999999998,sl,1501.1
37,55.8,55.81,1818.0,short,18.18,0.017917540286377095,101482.99999999997,sl,18.18
38,55.9,55.63,1824.0,short,-492.48,-0.4852832494112316,100990.51999999997,sl,-492.48
39,56.08,55.85,1808.0,short,-415.84,-0.41176142077494016,100574.67999999998,sl,-415.84
40,56.19,56.11,1792.0,short,-143.36,-0.14254084626468616,100431.31999999998,sl,-143.36
41,56.28,56.18,1787.0,short,-178.7,-0.17793254136259487,100252.61999999998,sl,-178.7
42,55.84,55.85,1795.0,short,17.95,0.017904768972621367,100270.56999999998,sl,17.95
43,55.92,55.85,1795.0,short,-125.65,-0.12531094617293992,100144.91999999998,sl,-125.65
44,54.78,54.97,1821.0,short,345.99,0.3454893168819747,100490.90999999999,sl,345.99
45,54.6,54.69,1837.0,short,165.33,0.1645223433641909,100656.23999999999,sl,165.33
46,54.85,54.73,1839.0,short,-220.68,-0.21924125121303958,100435.56,sl,-220.68
47,54.99,54.81,1832.0,short,-329.76,-0.32832992617355844,100105.8,sl,-329.76
48,53.38,54.06,1851.0,short,1258.68,1.2573497239920164,101364.48,sl,1258.68
