,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,50.64,50.67,1974.0,long,59.22,0.059219999999999995,100059.22,,59.22
2,50.97,52.75,1963.0,long,3494.14,3.4920719949645815,103553.36,sl,3494.14
3,52.83,52.74,1960.0,long,-176.4,-0.170346959287463,103376.96,sl,-176.4
4,52.78,52.56,1958.0,long,-430.76,-0.41668859289342614,102946.20000000001,sl,-430.76
5,52.61,52.38,1956.0,long,-449.88,-0.43700495987224386,102496.32,sl,-449.88
6,52.29,51.83,1960.0,long,-901.6,-0.8796413373670391,101594.72,sl,-901.6
7,51.92,51.58,1956.0,long,-665.04,-0.6546009477657894,100929.68000000001,sl,-665.04
8,51.06,51.61,1955.0,short,1075.25,1.0653456941506205,102004.93000000001,sl,1075.25
9,51.08,51.89,1996.0,long,1616.76,1.5849822160556355,103621.69,sl,1616.76
10,52.27,52.4,1982.0,long,257.66,0.24865450466982347,103879.35,sl,257.66
11,52.26,51.85,1987.0,long,-814.67,-0.7842463396238039,103064.68000000001,sl,-814.67
12,51.72,51.59,1992.0,long,-258.96,-0.2512596943977316,102805.72,sl,-258.96
13,51.62,51.4,1991.0,long,-438.02,-0.4260657870009567,102367.7,sl,-438.02
14,51.5,51.06,1987.0,long,-874.28,-0.8540584578924797,101493.42,sl,-874.28
15,51.35,51.36,1976.0,long,19.76,0.019469242439559137,101513.18,sl,19.76
16,51.3,51.35,1978.0,long,98.9,0.09742577269276759,101612.07999999999,sl,98.9
17,50.91,50.84,1998.0,short,-139.86,-0.1376411151115104,101472.21999999999,sl,-139.86
18,49.65,50.95,1991.0,short,2588.3,2.5507473868217336,104060.51999999999,sl,2588.3
19,49.59,49.36,2108.0,short,-484.84,-0.46592117740714734,103575.68,sl,-484.84
20,49.12,49.54,2090.0,short,877.8,0.8474962462230516,104453.48,sl,877.8
21,48.94,49.08,2128.0,short,297.92,0.2852178788107395,104751.4,sl,297.92
22,48.51,48.88,2143.0,short,792.91,0.7569445372567812,105544.31,sl,792.91
