,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,50.62,51.03,1959.0,short,803.19,0.80319,100803.19,,803.19
2,50.98,51.38,1961.0,short,784.4,0.7781499771981423,101587.59,sl,784.4
3,53.02,52.69,1928.0,short,-636.24,-0.6262969719037532,100951.34999999999,sl,-636.24
4,51.82,51.92,1948.0,long,194.8,0.1929642347526804,101146.15,sl,194.8
5,52.0,51.69,1956.0,short,-606.36,-0.5994889573157258,100539.79,sl,-606.36
6,52.62,52.19,1926.0,short,-828.18,-0.8237335685702148,99711.61,sl,-828.18
7,51.06,51.61,1932.0,short,1062.6,1.0656732952160737,100774.21,sl,1062.6
8,51.73,51.59,1948.0,long,-272.72,-0.2706247957686793,100501.49,sl,-272.72
9,50.97,51.03,1971.0,long,118.26,0.11766989723236938,100619.75,sl,118.26
10,50.28,50.18,2001.0,long,-200.1,-0.19886751855376306,100419.65,sl,-200.1
11,50.27,50.45,1997.0,long,359.46,0.3579578299665454,100779.11,sl,359.46
12,50.3,50.52,2003.0,long,440.66,0.4372533156921112,101219.77,sl,440.66
13,51.75,51.48,1966.0,short,-530.82,-0.5244232426135724,100688.95,sl,-530.82
14,52.42,52.37,1922.0,short,-96.1,-0.09544244924592023,100592.84999999999,sl,-96.1
15,51.31,51.07,1960.0,long,-470.4,-0.4676276693621863,100122.45,sl,-470.4
16,49.55,49.11,2038.0,short,-896.72,-0.8956233092578139,99225.73,sl,-896.72
17,49.53,49.52,2003.0,short,-20.03,-0.02018629643742606,99205.7,sl,-20.03
18,49.55,49.25,2002.0,long,-600.6,-0.6054087617949372,98605.09999999999,sl,-600.6
19,48.15,48.12,2047.0,long,-61.41,-0.06227872594825217,98543.68999999999,sl,-61.41
20,48.2,48.52,2030.0,short,649.6,0.6591999954537933,99193.29,sl,649.6
21,48.67,48.54,2043.0,short,-265.59,-0.26774996574869125,98927.7,sl,-265.59
22,48.3,48.26,2049.0,short,-81.96,-0.08284838321319508,98845.73999999999,sl,-81.96
23,47.95,47.83,2061.0,long,-247.32,-0.2502080514547213,98598.41999999998,sl,-247.32
24,46.76,46.57,2108.0,long,-400.52,-0.40621340585376525,98197.89999999998,sl,-400.52
25,46.58,46.61,2106.0,short,63.18,0.06433946143451134,98261.07999999997,sl,63.18
26,46.21,45.91,2126.0,long,-637.8,-0.6490871054948716,97623.27999999997,sl,-637.8
27,46.92,46.82,2085.0,short,-208.5,-0.21357610602716898,97414.77999999997,sl,-208.5
28,49.29,49.12,1983.0,short,-337.11,-0.3460563171214882,97077.66999999997,sl,-337.11
29,49.28,49.35,1967.0,short,137.69,0.1418348833464998,97215.35999999997,sl,137.69
30,50.21,50.13,1939.0,short,-155.12,-0.15956326243095745,97060.23999999998,sl,-155.12
31,51.26,50.94,1905.0,short,-609.6,-0.6280635613511776,96450.63999999997,sl,-609.6
32,50.83,51.22,1883.0,short,734.37,0.7613946366763354,97185.00999999997,sl,734.37
33,52.43,52.35,1856.0,short,-148.48,-0.15278076320617762,97036.52999999997,sl,-148.48
34,52.31,52.82,1855.0,long,946.05,0.9749421171593834,97982.57999999997,sl,946.05
35,55.67,55.11,1777.0,short,-995.12,-1.0156091011279762,96987.45999999998,sl,-995.12
36,57.83,58.09,1669.0,short,433.94,0.4474186662894359,97421.39999999998,sl,433.94
37,58.68,59.06,1649.0,short,626.62,0.6432057022379067,98048.01999999997,sl,626.62
38,57.91,57.79,1693.0,long,-203.16,-0.20720459219880222,97844.85999999997,sl,-203.16
39,57.53,57.2,1700.0,long,-561.0,-0.5733566382536601,97283.85999999997,sl,-561.0
