,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,402.02,404.03,247.0,short,496.47,0.49646999999999997,100496.47,,496.47
2,401.86,401.39,250.0,short,-117.5,-0.11691952961133859,100378.97,sl,-117.5
3,404.15,402.28,249.0,short,-465.63,-0.46387206403891174,99913.34,sl,-465.63
4,403.0,402.61,248.0,short,-96.72,-0.09680389025129177,99816.62,sl,-96.72
5,400.71,402.67,247.0,short,484.12,0.48500941025652844,100300.73999999999,sl,484.12
6,402.5,400.11,250.0,short,-597.5,-0.5957084663582742,99703.23999999999,sl,-597.5
7,404.57,402.35,247.0,short,-548.34,-0.5499720971956379,99154.9,sl,-548.34
8,404.62,405.71,245.0,long,267.05,0.2693260746569257,99421.95,sl,267.05
9,406.25,402.61,244.0,long,-888.16,-0.8933238585644317,98533.79,sl,-888.16
10,417.73,417.54,235.0,long,-44.65,-0.04531440432769307,98489.14,sl,-44.65
11,423.36,428.89,232.0,long,1282.96,1.3026410830676358,99772.1,sl,1282.96
12,429.16,428.22,232.0,long,-218.08,-0.21857813958010308,99554.02,sl,-218.08
13,427.94,426.79,232.0,long,-266.8,-0.26799520501532736,99287.22,sl,-266.8
14,427.08,428.48,232.0,long,324.8,0.32713172954182823,99612.02,sl,324.8
15,423.21,424.5,234.0,short,301.86,0.30303571797861345,99913.88,sl,301.86
16,422.86,423.24,236.0,short,89.68,0.08975729898588665,100003.56,sl,89.68
17,420.05,422.01,236.0,short,462.56,0.46254353345020915,100466.12,sl,462.56
18,419.84,420.04,239.0,short,47.8,0.047578228361959234,100513.92,sl,47.8
19,421.21,420.21,239.0,short,-239.0,-0.2377780112446117,100274.92,sl,-239.0
20,425.09,425.8,235.0,short,166.85,0.1663925535916658,100441.77,sl,166.85
21,424.73,424.73,0.0,long,0.0,0.0,100441.77,sl,0.0
22,424.73,423.81,236.0,long,-217.12,-0.21616504766891304,100224.65000000001,sl,-217.12
