,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,407.04,406.89,245.0,short,-36.75,-0.03675,99963.25,,-36.75
2,415.22,413.43,240.0,long,-429.6,-0.42975793604149526,99533.65,sl,-429.6
3,416.27,415.97,239.0,short,-71.7,-0.07203593960434487,99461.95,sl,-71.7
4,406.73,404.19,244.0,long,-619.76,-0.6231126576545101,98842.19,sl,-619.76
5,400.16,402.2,247.0,long,503.88,0.5097823105700107,99346.07,sl,503.88
6,408.4,407.42,243.0,short,-238.14,-0.23970751938149135,99107.93000000001,sl,-238.14
7,404.68,405.71,244.0,long,251.32,0.2535821301080549,99359.25000000001,sl,251.32
8,403.55,413.02,246.0,long,2329.62,2.3446433019572908,101688.87000000001,sl,2329.62
9,412.3,415.46,246.0,long,777.36,0.7644494426971211,102466.23000000001,sl,777.36
10,425.7,422.15,242.0,short,-859.1,-0.8384225710265713,101607.13,sl,-859.1
11,426.84,426.08,238.0,short,-180.88,-0.17801900319396874,101426.25,sl,-180.88
12,419.29,419.83,241.0,short,130.14,0.128309978925574,101556.39,sl,130.14
13,420.92,419.52,241.0,long,-337.4,-0.33222921767896635,101218.99,sl,-337.4
14,419.5,422.12,241.0,long,631.42,0.6238157484084754,101850.41,sl,631.42
15,424.94,423.16,240.0,short,-427.2,-0.4194386649989921,101423.21,sl,-427.2
16,428.18,426.79,236.0,long,-328.04,-0.3234368149065682,101095.17000000001,sl,-328.04
17,429.05,428.7,235.0,short,-82.25,-0.08135898084943127,101012.92000000001,sl,-82.25
18,424.79,424.49,237.0,short,-71.1,-0.07038703563860937,100941.82,sl,-71.1
19,422.86,423.54,238.0,short,161.84,0.1603299801806625,101103.66,sl,161.84
20,419.78,419.34,240.0,long,-105.6,-0.1044472573989903,100998.06,sl,-105.6
21,420.61,421.64,239.0,short,246.17,0.24373735495513477,101244.23,sl,246.17
22,423.05,420.28,239.0,long,-662.03,-0.6538940540117694,100582.2,sl,-662.03
23,422.71,422.7,237.0,short,-2.37,-0.00235628172778086,100579.83,sl,-2.37
24,420.53,427.04,239.0,long,1555.89,1.5469204909175132,102135.72,sl,1555.89
25,421.59,419.58,242.0,long,-486.42,-0.4762486620743458,101649.3,sl,-486.42
26,425.12,425.05,239.0,short,-16.73,-0.016458549148887402,101632.57,sl,-16.73
27,424.62,424.16,239.0,short,-109.94,-0.10817398398958128,101522.63,sl,-109.94
28,421.65,420.05,240.0,long,-384.0,-0.3782407922253393,101138.63,sl,-384.0
29,424.09,422.14,238.0,long,-464.1,-0.45887511033123546,100674.53,sl,-464.1
30,421.03,423.07,239.0,long,487.56,0.4842932964276069,101162.09,sl,487.56
31,415.36,413.61,243.0,long,-425.25,-0.4203649805969806,100736.84,sl,-425.25
32,417.24,417.23,241.0,short,-2.41,-0.002392372045817598,100734.43,sl,-2.41
33,400.87,400.07,251.0,long,-200.8,-0.19933601649406268,100533.62999999999,sl,-200.8
34,398.65,398.84,252.0,long,47.88,0.04762585415447548,100581.51,sl,47.88
35,399.91,398.63,252.0,short,-322.56,-0.32069512577411097,100258.95,sl,-322.56
36,401.92,400.62,249.0,long,-323.7,-0.3228639438174846,99935.25,sl,-323.7
37,400.85,408.89,249.0,long,2001.96,2.0032571089780635,101937.21,sl,2001.96
38,407.76,408.81,249.0,long,261.45,0.25648141635424393,102198.66,sl,261.45
39,393.65,408.79,250.0,short,3785.0,3.7035710644347,105983.66,sl,3785.0
40,398.77,397.67,265.0,long,-291.5,-0.27504239804513264,105692.16,sl,-291.5
41,394.36,393.13,268.0,long,-329.64,-0.3118868987065833,105362.52,sl,-329.64
42,398.28,400.16,263.0,short,494.44,0.4692750325257976,105856.96,sl,494.44
43,395.75,397.33,267.0,long,421.86,0.3985189070232132,106278.82,sl,421.86
44,406.41,405.5,262.0,short,-238.42,-0.2243344440595031,106040.40000000001,sl,-238.42
45,408.38,408.25,259.0,short,-33.67,-0.03175204921897692,106006.73000000001,sl,-33.67
46,410.41,409.52,258.0,short,-229.62,-0.2166088888884696,105777.11000000002,sl,-229.62
47,412.61,412.21,256.0,short,-102.4,-0.09680733383621465,105674.71000000002,sl,-102.4
48,411.55,411.71,256.0,short,40.96,0.03876045649900529,105715.67000000003,sl,40.96
49,410.11,409.31,257.0,long,-205.6,-0.1944839397981396,105510.07000000002,sl,-205.6
50,411.46,412.2,255.0,short,188.7,0.17884548839745815,105698.77000000002,sl,188.7
51,414.45,414.47,255.0,short,5.1,0.004825032495647772,105703.87000000002,sl,5.1
52,414.85,414.69,254.0,short,-40.64,-0.03844703131493671,105663.23000000003,sl,-40.64
53,421.87,421.06,250.0,short,-202.5,-0.19164661159799862,105460.73000000003,sl,-202.5
54,423.71,423.42,249.0,short,-72.21,-0.06847098441287101,105388.52000000002,sl,-72.21
55,421.39,421.91,249.0,short,129.48,0.12285968149092516,105518.00000000001,sl,129.48
56,418.8,418.61,251.0,long,-47.69,-0.04519608028961882,105470.31000000001,sl,-47.69
