,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,35.15,35.19,2841.0,short,113.64,0.11364,100113.64,,113.64
2,35.15,35.08,2853.0,short,-199.71,-0.1994833071697323,99913.93,sl,-199.71
3,34.65,34.61,2886.0,short,-115.44,-0.11553944480013947,99798.48999999999,sl,-115.44
4,34.8,34.69,2876.0,short,-316.36,-0.3169987842501425,99482.12999999999,sl,-316.36
5,34.73,34.72,2865.0,short,-28.65,-0.028799142117282777,99453.48,sl,-28.65
6,34.98,34.85,2853.0,short,-370.89,-0.3729281267985796,99082.59,sl,-370.89
7,35.15,34.94,2835.0,short,-595.35,-0.600862371482215,98487.23999999999,sl,-595.35
8,33.98,34.33,2868.0,short,1003.8,1.019218327166037,99491.04,sl,1003.8
9,33.85,34.03,2923.0,short,526.14,0.5288315410111303,100017.18,sl,526.14
10,33.94,33.88,2952.0,short,-177.12,-0.17708957601084135,99840.06,sl,-177.12
11,34.05,34.01,2935.0,short,-117.4,-0.11758807035973336,99722.66,sl,-117.4
12,34.15,34.06,2927.0,short,-263.43,-0.2641626286342542,99459.23000000001,sl,-263.43
13,34.2,34.2,2908.0,short,0.0,0.0,99459.23000000001,sl,0.0
14,34.41,34.18,2909.0,short,-669.07,-0.6727078019807714,98790.16,sl,-669.07
15,34.9,35.18,2830.0,long,792.4,0.8021041771771601,99582.56,sl,792.4
16,35.21,35.35,2828.0,long,395.92,0.3975796565181695,99978.48,sl,395.92
17,35.37,35.12,2826.0,long,-706.5,-0.7066520715257923,99271.98,sl,-706.5
18,35.06,34.98,2831.0,long,-226.48,-0.22814091146363757,99045.5,sl,-226.48
19,35.53,36.0,2787.0,long,1309.89,1.322513390310514,100355.39,sl,1309.89
20,36.03,35.78,2785.0,long,-696.25,-0.6937843597638352,99659.14,sl,-696.25
21,35.72,35.74,2790.0,long,55.8,0.055990850412716786,99714.94,sl,55.8
22,35.65,36.06,2765.0,short,1133.65,1.1368908209742692,100848.59,sl,1133.65
23,35.38,35.73,2822.0,short,987.7,0.979389002860625,101836.29,sl,987.7
24,35.39,35.39,2877.0,short,0.0,0.0,101836.29,sl,0.0
25,35.42,35.39,2877.0,short,-86.31,-0.084753676709943,101749.98,sl,-86.31
26,35.35,35.46,2869.0,short,315.59,0.3101622231277097,102065.56999999999,sl,315.59
27,35.35,35.35,2887.0,short,0.0,0.0,102065.56999999999,sl,0.0
28,35.14,35.35,2887.0,short,606.27,0.5940005037937868,102671.84,sl,606.27
29,35.28,35.15,2920.0,short,-379.6,-0.36972162961139104,102292.23999999999,sl,-379.6
30,35.6,35.35,2893.0,short,-723.25,-0.7070428802810458,101568.98999999999,sl,-723.25
31,35.85,35.66,2848.0,short,-541.12,-0.5327610326734569,101027.87,sl,-541.12
32,34.4,34.83,2900.0,short,1247.0,1.2343128683203952,102274.87,sl,1247.0
33,33.7,34.34,2978.0,short,1905.92,1.8635271792572312,104180.79,sl,1905.92
34,33.91,33.74,3087.0,short,-524.79,-0.5037301022578154,103656.0,sl,-524.79
35,33.82,33.88,3059.0,short,183.54,0.17706645056726095,103839.54,sl,183.54
36,33.81,33.74,3077.0,short,-215.39,-0.20742580331153238,103624.15,sl,-215.39
37,33.96,33.79,3066.0,short,-521.22,-0.5029908568610696,103102.93,sl,-521.22
38,33.74,33.94,3037.0,short,607.4,0.5891200182186869,103710.32999999999,sl,607.4
39,34.03,33.83,3065.0,short,-613.0,-0.5910693756350018,103097.32999999999,sl,-613.0
40,34.2,34.06,3026.0,short,-423.64,-0.4109126783399726,102673.68999999999,sl,-423.64
41,34.31,34.15,3006.0,short,-480.96,-0.4684354872217021,102192.72999999998,sl,-480.96
42,31.84,31.97,3196.0,short,415.48,0.40656512454457383,102608.20999999998,sl,415.48
43,32.01,31.89,3217.0,short,-386.04,-0.3762272044313024,102222.16999999998,sl,-386.04
44,31.88,31.85,3209.0,short,-96.27,-0.09417722202531996,102125.89999999998,sl,-96.27
45,31.83,31.89,3202.0,short,192.12,0.188120741163603,102318.01999999997,sl,192.12
46,32.22,32.17,3175.0,long,-158.75,-0.15515351059373514,102159.26999999997,sl,-158.75
47,32.14,32.13,3178.0,long,-31.78,-0.03110828806822916,102127.48999999998,sl,-31.78
48,31.69,31.62,3229.0,short,-226.03,-0.22132140915242315,101901.45999999998,sl,-226.03
49,31.57,31.61,3223.0,short,128.92,0.12651437967620877,102030.37999999998,sl,128.92
50,31.74,31.58,3230.0,short,-516.8,-0.506515804410412,101513.57999999997,sl,-516.8
51,31.91,31.77,3195.0,short,-447.3,-0.4406307018233424,101066.27999999997,sl,-447.3
52,31.09,31.52,3206.0,short,1378.58,1.3640355616136266,102444.85999999997,sl,1378.58
53,31.05,31.05,3299.0,short,0.0,0.0,102444.85999999997,sl,0.0
54,31.06,31.04,3300.0,short,-66.0,-0.06442490135669082,102378.85999999997,sl,-66.0
55,31.28,31.01,3301.0,short,-891.27,-0.8705605825265101,101487.58999999997,sl,-891.27
56,31.36,31.14,3259.0,short,-716.98,-0.706470613796229,100770.60999999997,sl,-716.98
57,31.56,31.34,3215.0,short,-707.3,-0.7018911565584451,100063.30999999997,sl,-707.3
58,31.73,32.01,3153.0,long,882.84,0.8822814276281689,100946.14999999997,sl,882.84
59,31.97,31.99,3157.0,long,63.14,0.06254820020377204,101009.28999999996,sl,63.14
60,31.53,31.77,3203.0,long,768.72,0.7610389103814117,101778.00999999997,sl,768.72
61,31.77,31.6,3203.0,long,-544.51,-0.5349976876144465,101233.49999999997,sl,-544.51
62,31.59,31.45,3204.0,long,-448.56,-0.4430944302034407,100784.93999999997,sl,-448.56
63,31.43,31.35,3206.0,long,-256.48,-0.2544824653365871,100528.45999999998,sl,-256.48
