,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,36.65,36.58,2728.0,long,-190.96,-0.19096,99809.04,,-190.96
2,37.14,37.32,2687.0,long,483.66,0.48458536421149834,100292.7,sl,483.66
3,37.24,36.41,2693.0,long,-2235.19,-2.228666692590787,98057.51,sl,-2235.19
4,35.8,35.92,2739.0,long,328.68,0.335191052679188,98386.18999999999,sl,328.68
5,35.65,35.76,2759.0,long,303.49,0.30846808886491084,98689.68,sl,303.49
6,35.15,35.1,2811.0,short,-140.55,-0.14241610672970062,98549.12999999999,sl,-140.55
7,35.02,34.8,2814.0,long,-619.08,-0.628194282384837,97930.04999999999,sl,-619.08
8,34.87,34.67,2808.0,long,-561.6,-0.5734705537268694,97368.44999999998,sl,-561.6
9,33.87,33.69,2874.0,long,-517.32,-0.5313014636671326,96851.12999999998,sl,-517.32
10,34.19,34.07,2832.0,long,-339.84,-0.35088903970454455,96511.28999999998,sl,-339.84
11,33.71,33.58,2862.0,long,-372.06,-0.38550930155425345,96139.22999999998,sl,-372.06
12,33.55,33.27,2865.0,long,-802.2,-0.834414837730654,95337.02999999998,sl,-802.2
13,33.06,33.49,2883.0,long,1239.69,1.3003237042311893,96576.71999999999,sl,1239.69
14,32.62,33.58,2960.0,long,2841.6,2.942323988638256,99418.31999999999,sl,2841.6
15,35.17,34.98,2826.0,long,-536.94,-0.5400815463387433,98881.37999999999,sl,-536.94
16,35.79,35.74,2762.0,long,-138.1,-0.13966229031188684,98743.27999999998,sl,-138.1
17,35.92,35.88,2748.0,long,-109.92,-0.11131896773127246,98633.35999999999,sl,-109.92
18,36.77,36.36,2712.0,short,-1111.92,-1.1273264948086532,97521.43999999999,sl,-1111.92
19,36.19,36.13,2694.0,long,-161.64,-0.16574816778751422,97359.79999999999,sl,-161.64
20,35.65,35.45,2730.0,long,-546.0,-0.5608064108595129,96813.79999999999,sl,-546.0
21,35.35,35.33,2738.0,long,-54.76,-0.056562184316698655,96759.04,sl,-54.76
22,34.74,35.96,2690.0,short,3281.8,3.391724432156417,100040.84,sl,3281.8
23,34.77,34.53,2897.0,short,-695.28,-0.6949961635667993,99345.56,sl,-695.28
24,34.97,34.83,2852.0,short,-399.28,-0.4019102615154617,98946.28,sl,-399.28
25,33.71,33.69,2935.0,long,-58.7,-0.05932512066143366,98887.58,sl,-58.7
26,34.31,34.22,2889.0,short,-260.01,-0.2629349408692173,98627.57,sl,-260.01
27,35.46,35.31,2793.0,short,-418.95,-0.4247798054844097,98208.62000000001,sl,-418.95
28,34.09,33.81,2880.0,long,-806.4,-0.8211091857313542,97402.22000000002,sl,-806.4
29,33.28,33.79,2926.0,long,1492.26,1.5320595362200162,98894.48000000001,sl,1492.26
30,32.81,32.64,3014.0,long,-512.38,-0.518107785186797,98382.1,sl,-512.38
31,32.58,32.71,3019.0,long,392.47,0.39892419454351963,98774.57,sl,392.47
32,32.44,32.22,3044.0,long,-669.68,-0.677988271677619,98104.89000000001,sl,-669.68
33,31.79,31.7,3086.0,long,-277.74,-0.2831051540855914,97827.15000000001,sl,-277.74
34,32.59,32.32,3026.0,short,-817.02,-0.8351669245194201,97010.13,sl,-817.02
35,32.03,32.44,2990.0,short,1225.9,1.2636824628520755,98236.03,sl,1225.9
36,31.99,31.92,3070.0,long,-214.9,-0.2187588403155136,98021.13,sl,-214.9
37,31.38,31.27,3123.0,long,-343.53,-0.350465251726847,97677.6,sl,-343.53
38,32.19,32.1,3042.0,short,-273.78,-0.28028944200103195,97403.82,sl,-273.78
39,31.7,31.57,3072.0,long,-399.36,-0.4100044536240981,97004.46,sl,-399.36
40,31.53,31.41,3076.0,long,-369.12,-0.3805185864649935,96635.34000000001,sl,-369.12
41,31.06,30.9,3111.0,long,-497.76,-0.5150910629589547,96137.58000000002,sl,-497.76
42,31.56,31.37,3064.0,short,-582.16,-0.6055488394860781,95555.42000000001,sl,-582.16
43,30.89,31.32,3093.0,long,1329.99,1.3918519744876845,96885.41000000002,sl,1329.99
44,30.41,30.4,3187.0,short,-31.87,-0.03289452973363068,96853.54000000002,sl,-31.87
45,29.99,30.4,3229.0,long,1323.89,1.366898928010272,98177.43000000002,sl,1323.89
46,30.89,31.77,3178.0,long,2796.64,2.8485569442997227,100974.07000000002,sl,2796.64
47,31.43,31.35,3212.0,long,-256.96,-0.2544811752165679,100717.11000000002,sl,-256.96
48,31.35,31.28,3212.0,long,-224.84,-0.22323912987574798,100492.27000000002,sl,-224.84
