,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,21.54,21.86,4642.0,long,1485.44,1.48544,101485.44,,1485.44
2,21.89,21.8,4636.0,long,-417.24,-0.4111328679266701,101068.2,sl,-417.24
3,21.76,23.19,4644.0,long,6640.92,6.570731446686495,107709.12,sl,6640.92
4,23.08,22.68,4666.0,long,-1866.4,-1.7328151970789476,105842.72,sl,-1866.4
5,22.75,22.67,4652.0,long,-372.16,-0.35161605824188946,105470.56,sl,-372.16
6,22.62,23.01,4662.0,long,1818.18,1.7238744157611376,107288.73999999999,sl,1818.18
7,22.73,23.25,4720.0,long,2454.4,2.2876585184987728,109743.13999999998,sl,2454.4
8,23.25,23.15,4720.0,long,-472.0,-0.43009522053041316,109271.13999999998,sl,-472.0
9,23.09,22.84,4732.0,long,-1183.0,-1.0826280388398988,108088.13999999998,sl,-1183.0
10,22.82,22.61,4736.0,long,-994.56,-0.9201379540808085,107093.57999999999,sl,-994.56
11,22.68,22.5,4721.0,long,-849.78,-0.7934929432744708,106243.79999999999,sl,-849.78
12,22.08,22.15,4811.0,long,336.77,0.31697849662756794,106580.56999999999,sl,336.77
13,22.14,21.9,4813.0,long,-1155.12,-1.0837997957789116,105425.45,sl,-1155.12
14,21.8,21.56,4836.0,long,-1160.64,-1.1009106434926292,104264.81,sl,-1160.64
15,21.48,21.34,4885.0,short,-683.9,-0.655926002262892,103580.91,sl,-683.9
16,21.17,21.51,4815.0,short,1637.1,1.5805035889335204,105218.01000000001,sl,1637.1
17,21.14,21.09,4989.0,short,-249.45,-0.23707918444760548,104968.56000000001,sl,-249.45
18,21.36,21.21,4949.0,short,-742.35,-0.7072117594068167,104226.21,sl,-742.35
19,21.53,21.39,4872.0,short,-682.08,-0.6544227215016262,103544.13,sl,-682.08
20,21.56,21.49,4818.0,short,-337.26,-0.32571619463121665,103206.87000000001,sl,-337.26
21,21.4,21.52,4795.0,short,575.4,0.5575210254898728,103782.27,sl,575.4
22,21.67,21.37,4856.0,short,-1456.8,-1.4037079743967829,102325.47,sl,-1456.8
23,21.43,21.11,4847.0,short,-1551.04,-1.5157907410540112,100774.43000000001,sl,-1551.04
24,21.29,21.52,4682.0,short,1076.86,1.0685845605874424,101851.29000000001,sl,1076.86
25,21.3,21.25,4793.0,short,-239.65,-0.23529402524013193,101611.64000000001,sl,-239.65
26,21.39,21.31,4768.0,short,-381.44,-0.37539006357933,101230.20000000001,sl,-381.44
27,21.63,21.69,4680.0,long,280.8,0.2773875780152563,101511.00000000001,sl,280.8
28,21.83,21.5,4650.0,long,-1534.5,-1.5116588350031028,99976.50000000001,sl,-1534.5
29,21.52,21.59,4645.0,long,325.15,0.3252264282106294,100301.65000000001,sl,325.15
30,22.09,21.97,4565.0,short,-547.8,-0.5461525308905685,99753.85,sl,-547.8
31,21.8,21.67,4603.0,short,-598.39,-0.5998665715659095,99155.46,sl,-598.39
