,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,22.46,22.28,4452.0,long,-801.36,-0.8013600000000001,99198.64,,-801.36
2,21.32,20.98,4652.0,long,-1581.68,-1.5944573433668043,97616.96,sl,-1581.68
3,20.9,22.01,4670.0,long,5183.7,5.31024526885492,102800.66,sl,5183.7
4,21.5,21.37,4810.0,short,-625.3,-0.6082645772896789,102175.36,sl,-625.3
5,21.75,23.19,4697.0,long,6763.68,6.619678168983207,108939.04000000001,sl,6763.68
6,22.67,22.5,4805.0,long,-816.85,-0.7498230202873092,108122.19,sl,-816.85
7,22.83,22.69,4765.0,short,-667.1,-0.6169871327985496,107455.09,sl,-667.1
8,22.84,22.74,4725.0,short,-472.5,-0.4397185838288349,106982.59,sl,-472.5
9,22.42,22.8,4692.0,short,1782.96,1.6665889281611148,108765.55,sl,1782.96
10,21.49,21.31,5061.0,long,-910.98,-0.8375629967393168,107854.57,sl,-910.98
11,21.56,21.53,5009.0,short,-150.27,-0.13932650234477778,107704.3,sl,-150.27
12,21.43,21.5,5009.0,short,350.63,0.32554874782158183,108054.93000000001,sl,350.63
13,21.29,21.53,5018.0,short,1204.32,1.114544241526046,109259.25000000001,sl,1204.32
14,21.22,21.66,5148.0,long,2265.12,2.073160853657699,111524.37000000001,sl,2265.12
15,22.22,22.65,4923.0,short,2116.89,1.8981411865406634,113641.26000000001,sl,2116.89
16,22.45,22.26,5105.0,short,-969.95,-0.8535192235636951,112671.31000000001,sl,-969.95
17,22.47,22.5,5007.0,short,150.21,0.13331699081159168,112821.52000000002,sl,150.21
18,22.14,22.12,5100.0,short,-102.0,-0.09040828380968452,112719.52000000002,sl,-102.0
19,21.76,21.74,5180.0,long,-103.6,-0.09190954681141295,112615.92000000001,sl,-103.6
20,21.6,21.36,5213.0,long,-1251.12,-1.1109619314924566,111364.80000000002,sl,-1251.12
21,21.46,21.47,5186.0,short,51.86,0.04656767668060284,111416.66000000002,sl,51.86
22,21.46,21.4,5191.0,long,-311.46,-0.27954526728767487,111105.20000000001,sl,-311.46
23,21.58,21.57,5150.0,short,-51.5,-0.0463524659511886,111053.70000000001,sl,-51.5
24,21.5,21.41,5165.0,long,-464.85,-0.41858128094786573,110588.85,sl,-464.85
25,21.34,20.9,5182.0,long,-2280.08,-2.061763007753494,108308.77,sl,-2280.08
26,19.94,19.81,5467.0,short,-710.71,-0.6561887832351896,107598.06,sl,-710.71
27,20.17,20.12,5347.0,short,-267.35,-0.24847102261880932,107330.70999999999,sl,-267.35
28,20.22,20.39,5308.0,long,902.36,0.840728622777209,108233.06999999999,sl,902.36
29,20.82,20.77,5211.0,short,-260.55,-0.2407304902281715,107972.51999999999,sl,-260.55
30,20.7,20.82,5185.0,short,622.2,0.5762577366907803,108594.71999999999,sl,622.2
31,20.31,20.33,5341.0,short,106.82,0.098365740065447,108701.54,sl,106.82
32,20.68,20.66,5256.0,long,-105.12,-0.0967051616748024,108596.42,sl,-105.12
33,20.49,20.31,5299.0,long,-953.82,-0.8783162465208337,107642.59999999999,sl,-953.82
34,20.51,20.33,5294.0,short,-952.92,-0.8852628977746728,106689.68,sl,-952.92
35,20.03,19.96,5326.0,long,-372.82,-0.34944335759559875,106316.85999999999,sl,-372.82
36,19.42,19.63,5474.0,long,1149.54,1.0812396077160293,107466.39999999998,sl,1149.54
37,19.11,19.06,5623.0,long,-281.15,-0.26161665413561824,107185.24999999999,sl,-281.15
38,18.57,18.53,5784.0,short,-231.36,-0.21585059511453308,106953.88999999998,sl,-231.36
39,18.63,18.59,5740.0,long,-229.6,-0.2146719488183179,106724.28999999998,sl,-229.6
40,18.36,18.39,5803.0,short,174.09,0.16312125384015208,106898.37999999998,sl,174.09
41,18.12,19.14,5899.0,long,6016.98,5.628691473154224,112915.35999999997,sl,6016.98
42,19.49,19.37,5829.0,short,-699.48,-0.61947285116923,112215.87999999998,sl,-699.48
43,19.24,19.14,5862.0,short,-586.2,-0.5223859582084106,111629.67999999998,sl,-586.2
44,19.2,19.36,5814.0,long,930.24,0.833326763993232,112559.91999999998,sl,930.24
45,19.62,19.61,5736.0,long,-57.36,-0.05095952449148863,112502.55999999998,sl,-57.36
46,19.78,19.88,5659.0,short,565.9,0.5030107759325655,113068.45999999998,sl,565.9
47,19.83,20.05,5701.0,long,1254.22,1.109257170390399,114322.67999999998,sl,1254.22
48,24.85,24.55,4656.0,short,-1396.8,-1.2218048072351,112925.87999999998,sl,-1396.8
49,25.07,24.99,4504.0,long,-360.32,-0.3190765482633388,112565.55999999997,sl,-360.32
50,25.0,24.98,4502.0,long,-90.04,-0.07998894155548111,112475.51999999997,sl,-90.04
51,24.97,25.08,4504.0,long,495.44,0.4404869610738409,112970.95999999998,sl,495.44
52,24.7,24.58,4596.0,short,-551.52,-0.4881962585783108,112419.43999999997,sl,-551.52
53,24.78,24.69,4553.0,short,-409.77,-0.3645010151269212,112009.66999999997,sl,-409.77
54,25.25,25.28,4430.0,short,132.9,0.11865047008887718,112142.56999999996,sl,132.9
