,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,41.94,41.85,2384.0,long,-214.56,-0.21456,99785.44,,-214.56
2,42.69,42.52,2346.0,short,-398.82,-0.39967754814730483,99386.62,sl,-398.82
3,43.1,43.12,2304.0,short,46.08,0.04636438989473633,99432.7,sl,46.08
4,43.28,43.23,2300.0,short,-115.0,-0.11565611715260674,99317.7,sl,-115.0
5,43.5,43.94,2260.0,short,994.4,1.0012314018548556,100312.09999999999,sl,994.4
6,43.65,43.68,2296.0,short,68.88,0.06866569436787785,100380.98,sl,68.88
7,42.83,43.75,2294.0,short,2110.48,2.1024700097568285,102491.45999999999,sl,2110.48
8,43.31,43.2,2372.0,short,-260.92,-0.2545773081971903,102230.54,sl,-260.92
9,44.0,44.23,2311.0,short,531.53,0.5199326933028037,102762.06999999999,sl,531.53
10,43.84,44.42,2344.0,long,1359.52,1.3229784102247064,104121.59,sl,1359.52
11,43.99,44.05,2366.0,long,141.96,0.13634059948565905,104263.55,sl,141.96
12,43.68,43.49,2386.0,long,-453.34,-0.4348019993564385,103810.21,sl,-453.34
13,43.25,43.45,2389.0,short,477.8,0.46026301266513187,104288.01000000001,sl,477.8
14,42.42,42.04,2458.0,long,-934.04,-0.895635078279852,103353.97000000002,sl,-934.04
15,42.08,42.02,2456.0,long,-147.36,-0.14257797741102735,103206.61000000002,sl,-147.36
16,42.68,42.61,2422.0,short,-169.54,-0.16427242402400385,103037.07000000002,sl,-169.54
17,42.69,43.0,2396.0,short,742.76,0.7208667715415431,103779.83000000002,sl,742.76
18,42.65,42.73,2428.0,short,194.24,0.1871654636551245,103974.07000000002,sl,194.24
19,42.7,42.86,2434.0,long,389.44,0.374554925088534,104363.51000000002,sl,389.44
20,43.95,44.09,2367.0,short,331.38,0.3175247747033421,104694.89000000003,sl,331.38
21,44.33,44.35,2360.0,short,47.2,0.045083384680952424,104742.09000000003,sl,47.2
22,43.76,43.81,2393.0,long,119.65,0.11423296976411296,104861.74000000002,sl,119.65
23,44.92,44.98,2331.0,short,139.86,0.13337562394062885,105001.60000000002,sl,139.86
24,45.56,45.78,2293.0,short,504.46,0.48043077438819964,105506.06000000003,sl,504.46
25,44.76,44.98,2357.0,long,518.54,0.49147887808529656,106024.60000000002,sl,518.54
26,44.24,44.11,2396.0,long,-311.48,-0.2937808772681057,105713.12000000002,sl,-311.48
27,45.0,45.01,2348.0,short,23.48,0.022211055732722668,105736.60000000002,sl,23.48
28,45.6,45.38,2318.0,long,-509.96,-0.48229279171072253,105226.64000000001,sl,-509.96
29,43.88,43.71,2398.0,long,-407.66,-0.3874114007631527,104818.98000000001,sl,-407.66
30,43.13,43.05,2434.0,short,-194.72,-0.18576788287770019,104624.26000000001,sl,-194.72
31,42.27,42.42,2475.0,long,371.25,0.35484121942654595,104995.51000000001,sl,371.25
32,41.66,41.92,2520.0,long,655.2,0.6240266845696545,105650.71,sl,655.2
33,41.92,43.39,2520.0,long,3704.4,3.5062708049950633,109355.11,sl,3704.4
34,44.76,44.55,2454.0,short,-515.34,-0.4712536981582297,108839.77,sl,-515.34
35,45.41,45.36,2399.0,short,-119.95,-0.1102078771390274,108719.82,sl,-119.95
36,45.6,45.47,2391.0,short,-310.83,-0.2859000318433198,108408.99,sl,-310.83
37,46.11,46.24,2344.0,short,304.72,0.28108369979279396,108713.71,sl,304.72
38,46.24,46.32,2347.0,short,187.76,0.17271050725800818,108901.47,sl,187.76
39,45.88,45.98,2373.0,long,237.3,0.21790339469246836,109138.77,sl,237.3
40,45.05,45.01,2422.0,long,-96.88,-0.08876772204781123,109041.89,sl,-96.88
41,44.95,44.84,2425.0,long,-266.75,-0.24463075612500845,108775.14,sl,-266.75
42,45.42,45.56,2387.0,short,334.18,0.30722093301833486,109109.31999999999,sl,334.18
43,45.92,46.23,2360.0,short,731.6,0.6705201718789926,109840.92,sl,731.6
44,46.99,47.24,2325.0,short,581.25,0.5291743732663565,110422.17,sl,581.25
45,48.09,47.99,2300.0,short,-230.0,-0.20829150522942994,110192.17,sl,-230.0
46,46.87,47.18,2351.0,long,728.81,0.6613990812595849,110920.98,sl,728.81
47,47.35,47.38,2341.0,short,70.23,0.06331534395026081,110991.20999999999,sl,70.23
48,47.74,47.58,2332.0,short,-373.12,-0.3361707652344722,110618.09,sl,-373.12
49,48.31,48.18,2295.0,short,-298.35,-0.269711762334714,110319.73999999999,sl,-298.35
50,48.97,49.12,2245.0,short,336.75,0.30524908778791543,110656.48999999999,sl,336.75
51,49.73,49.2,2249.0,short,-1191.97,-1.0771803804729394,109464.51999999999,sl,-1191.97
52,49.15,48.9,2227.0,long,-556.75,-0.5086122882555919,108907.76999999999,sl,-556.75
53,47.94,48.86,2228.0,short,2049.76,1.8821062996698952,110957.52999999998,sl,2049.76
