,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,2963.85,2966.45,8.0,long,20.8,0.020800000000000003,100020.8,,20.8
2,2963.85,2966.45,8.0,long,20.8,0.020795674499704063,100041.6,tp1,20.8
3,2963.85,2970.3,8.0,long,51.6,0.051578543325976396,100093.20000000001,tp2,51.6
4,2963.85,2970.3,9.0,long,58.05,0.05799594777667213,100151.25000000001,tp4,58.05
5,2932.2,2968.85,8.0,short,293.2,0.2927572047278491,100444.45000000001,tp4,293.2
6,2932.2,2968.85,8.0,short,293.2,0.2919026387221991,100737.65000000001,tp1,293.2
7,2920.85,2968.85,8.0,short,384.0,0.3811881654972098,101121.65000000001,tp2,384.0
8,2911.05,2968.85,9.0,short,520.2,0.5144298970596307,101641.85,tp4,520.2
9,2917.05,2915.45,8.0,short,-12.8,-0.01259323792315862,101629.05,tp4,-12.8
10,2917.05,2915.45,8.0,short,-12.8,-0.012594824019313377,101616.25,sl1,-12.8
11,2917.05,2915.45,8.0,short,-12.8,-0.012596410515050498,101603.45,sl2,-12.8
12,2917.05,2915.45,10.0,short,-16.0,-0.01574749676315125,101587.45,sl4,-16.0
13,2918.0,2917.1,8.0,short,-7.2,-0.007087489645620597,101580.25,sl4,-7.2
14,2918.0,2917.1,8.0,short,-7.2,-0.007087992006320127,101573.05,sl1,-7.2
15,2918.0,2917.1,8.0,short,-7.2,-0.007088494438239277,101565.85,sl2,-7.2
16,2918.0,2917.1,10.0,short,-9.0,-0.008861246176741493,101556.85,sl4,-9.0
