,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,2937.8,2934.15,34.0,short,-124.1,-0.12409999999999999,99875.9,,-124.1
2,2932.0,2939.9,33.0,short,260.7,0.26102393069799623,100136.59999999999,sl,260.7
3,2924.1,2911.55,34.0,long,-426.7,-0.426117922917295,99709.9,sl,-426.7
4,2925.4,2952.0,33.0,short,877.8,0.8803539066832882,100587.7,sl,877.8
5,3001.6,3012.55,33.0,long,361.35,0.35923875384366083,100949.05,sl,361.35
6,2997.3,2996.95,33.0,long,-11.55,-0.01144141524858332,100937.5,sl,-11.55
7,2941.15,2931.3,34.0,long,-334.9,-0.3317894736842105,100602.6,sl,-334.9
8,2939.9,2954.35,34.0,long,491.3,0.48835715975531446,101093.90000000001,sl,491.3
9,2958.1,2948.7,34.0,long,-319.6,-0.3161417256629727,100774.3,sl,-319.6
10,2910.05,2896.45,34.0,long,-462.4,-0.4588471465443074,100311.90000000001,sl,-462.4
11,2864.5,2851.95,35.0,long,-439.25,-0.43788423905837687,99872.65000000001,sl,-439.25
12,2855.85,2867.4,34.0,long,392.7,0.3932007411438466,100265.35,sl,392.7
13,2841.7,2832.05,35.0,long,-337.75,-0.3368561522001369,99927.6,sl,-337.75
14,2881.8,2872.05,34.0,short,-331.5,-0.3317401798902405,99596.1,sl,-331.5
15,2856.4,2855.5,34.0,short,-30.6,-0.030724094618162757,99565.5,sl,-30.6
16,2871.15,2866.5,34.0,short,-158.1,-0.15878994229929042,99407.4,sl,-158.1
17,2885.35,2883.5,34.0,short,-62.9,-0.06327496745715108,99344.5,sl,-62.9
18,2913.4,2911.85,34.0,short,-52.7,-0.05304772785609672,99291.8,sl,-52.7
19,2958.0,2945.05,33.0,short,-427.35,-0.4303980791968723,98864.45,sl,-427.35
20,2999.3,2997.95,32.0,short,-43.2,-0.043696192109499425,98821.25,sl,-43.2
21,3010.4,3008.05,32.0,short,-75.2,-0.07609699330862542,98746.05,sl,-75.2
22,2960.9,2974.9,33.0,short,462.0,0.4678668159384603,99208.05,sl,462.0
23,2948.05,2959.75,33.0,short,386.1,0.38918212786159995,99594.15000000001,sl,386.1
24,2941.4,2932.55,33.0,short,-292.05,-0.2932401150067549,99302.1,sl,-292.05
25,2925.0,2917.5,33.0,long,-247.5,-0.24923944206617984,99054.6,sl,-247.5
26,2971.8,2962.0,33.0,short,-323.4,-0.32648660435759663,98731.20000000001,sl,-323.4
27,2940.15,2929.2,33.0,long,-361.35,-0.36599372842627254,98369.85,sl,-361.35
28,2953.35,2965.25,33.0,short,392.7,0.3992076840617323,98762.55,sl,392.7
29,2962.2,2953.6,33.0,short,-283.8,-0.2873558854039309,98478.75,sl,-283.8
30,2959.2,2958.75,33.0,short,-14.85,-0.015079395301016716,98463.9,sl,-14.85
31,2905.0,2949.45,33.0,long,1466.85,1.4897338009158687,99930.75,sl,1466.85
32,2915.0,2889.5,34.0,long,-867.0,-0.8676008135633927,99063.75,sl,-867.0
33,2962.0,2956.5,33.0,short,-181.5,-0.1832153537494795,98882.25,sl,-181.5
34,2938.8,2932.15,33.0,long,-219.45,-0.22193062961249366,98662.8,sl,-219.45
35,2911.5,2916.65,33.0,short,169.95,0.17225337209160899,98832.75,sl,169.95
36,2924.85,2926.6,33.0,short,57.75,0.05843204808122813,98890.5,sl,57.75
37,2901.15,2923.55,33.0,short,739.2,0.7474934397136227,99629.7,sl,739.2
38,2957.95,2953.35,33.0,long,-151.8,-0.15236420464981829,99477.9,sl,-151.8
39,2940.85,2930.3,33.0,long,-348.15,-0.3499772311236968,99129.75,sl,-348.15
40,2873.35,2857.6,34.0,long,-535.5,-0.5402011000733887,98594.25,sl,-535.5
41,2857.4,2845.3,34.0,long,-411.4,-0.4172657127570827,98182.85,sl,-411.4
42,2788.0,2845.75,35.0,long,2021.25,2.058658920575233,100204.1,sl,2021.25
43,2815.75,2795.8,35.0,long,-698.25,-0.6968277745122206,99505.85,sl,-698.25
44,2853.85,2845.95,34.0,short,-268.6,-0.26993387825941895,99237.25,sl,-268.6
45,2840.35,2839.3,34.0,long,-35.7,-0.035974394695540236,99201.55,sl,-35.7
46,2807.9,2832.9,35.0,long,875.0,0.8820426696961892,100076.55,sl,875.0
