,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,75.33,76.17,1312.0,short,1102.08,1.10208,101102.08,,1102.08
2,74.81,75.24,1343.0,short,577.49,0.5711949744258477,101679.57,sl,577.49
3,74.39,74.81,1359.0,short,570.78,0.5613517051655509,102250.35,sl,570.78
4,74.55,74.34,1375.0,short,-288.75,-0.28239512138589257,101961.6,sl,-288.75
5,74.75,74.17,1374.0,short,-796.92,-0.7815883626777138,101164.68000000001,sl,-796.92
6,75.04,74.75,1353.0,short,-392.37,-0.38785275651541623,100772.31000000001,sl,-392.37
7,74.83,74.96,1344.0,short,174.72,0.17338096149626814,100947.03000000001,sl,174.72
8,75.25,74.9,1347.0,short,-471.45,-0.4670271131305199,100475.58000000002,sl,-471.45
9,75.25,75.01,1339.0,short,-321.36,-0.3198389101112927,100154.22000000002,sl,-321.36
10,76.79,75.41,1328.0,short,-1832.64,-1.8298180545962015,98321.58000000002,sl,-1832.64
11,77.85,77.81,1263.0,short,-50.52,-0.051382412691089785,98271.06000000001,sl,-50.52
12,74.95,76.08,1291.0,short,1458.83,1.4844960459366163,99729.89000000001,sl,1458.83
13,74.87,75.15,1327.0,short,371.56,0.37256633893810565,100101.45000000001,sl,371.56
14,76.1,76.43,1309.0,short,431.97,0.4315322105723743,100533.42000000001,sl,431.97
15,76.62,76.08,1321.0,short,-713.34,-0.7095550912323483,99820.08000000002,sl,-713.34
16,76.77,76.74,1300.0,short,-39.0,-0.039070295275259244,99781.08000000002,sl,-39.0
17,75.56,76.35,1320.0,long,1042.8,1.0450879064447887,100823.88000000002,sl,1042.8
18,76.23,76.54,1322.0,long,409.82,0.4064711653628088,101233.70000000003,sl,409.82
19,75.76,75.35,1336.0,long,-547.76,-0.5410846388109887,100685.94000000003,sl,-547.76
20,79.54,79.29,1265.0,long,-316.25,-0.31409549337275877,100369.69000000003,sl,-316.25
21,78.65,78.66,1275.0,short,12.75,0.01270303813830649,100382.44000000003,sl,12.75
22,77.76,78.6,1277.0,short,1072.68,1.0685932718909799,101455.12000000002,sl,1072.68
23,78.25,77.79,1304.0,short,-599.84,-0.5912367951464647,100855.28000000003,sl,-599.84
24,77.86,78.24,1289.0,short,489.82,0.4856661941744645,101345.10000000003,sl,489.82
25,79.39,78.66,1288.0,short,-940.24,-0.9277606909460839,100404.86000000003,sl,-940.24
26,78.09,77.79,1285.0,long,-385.5,-0.38394555801382513,100019.36000000003,sl,-385.5
27,77.63,77.72,1288.0,long,115.92,0.11589756223195187,100135.28000000003,sl,115.92
28,73.12,74.38,1346.0,short,1695.96,1.6936688048408108,101831.24000000003,sl,1695.96
29,73.36,72.99,1395.0,short,-516.15,-0.5068680298894522,101315.09000000004,sl,-516.15
30,72.83,72.66,1394.0,short,-236.98,-0.23390395251092397,101078.11000000004,sl,-236.98
31,72.5,72.76,1389.0,short,361.14,0.3572880418915627,101439.25000000004,sl,361.14
32,72.6,72.39,1401.0,short,-294.21,-0.2900356617384295,101145.04000000004,sl,-294.21
33,72.71,72.4,1397.0,short,-433.07,-0.42816731299923344,100711.97000000003,sl,-433.07
34,72.77,72.79,1383.0,short,27.66,0.02746446127505995,100739.63000000003,sl,27.66
35,73.03,72.84,1383.0,short,-262.77,-0.26084074360805165,100476.86000000003,sl,-262.77
36,72.36,71.96,1396.0,short,-558.4,-0.5557498512592848,99918.46000000004,sl,-558.4
37,71.81,72.29,1382.0,short,663.36,0.6639013451568407,100581.82000000004,sl,663.36
38,72.06,71.65,1403.0,short,-575.23,-0.5719025565455067,100006.59000000004,sl,-575.23
39,72.42,71.88,1391.0,short,-751.14,-0.751090503135843,99255.45000000004,sl,-751.14
40,71.49,72.52,1368.0,short,1409.04,1.419609704051515,100664.49000000003,sl,1409.04
41,71.04,71.87,1400.0,short,1162.0,1.1543295952723742,101826.49000000003,sl,1162.0
42,70.6,70.89,1436.0,short,416.44,0.40897020019053965,102242.93000000004,sl,416.44
43,70.91,70.54,1449.0,short,-536.13,-0.524368775425352,101706.80000000003,sl,-536.13
44,70.96,70.79,1436.0,short,-244.12,-0.24002328261237196,101462.68000000004,sl,-244.12
45,71.3,71.08,1427.0,short,-313.94,-0.30941425950901347,101148.74000000003,sl,-313.94
46,71.6,71.46,1415.0,short,-198.1,-0.19585019052140434,100950.64000000003,sl,-198.1
47,72.31,72.05,1401.0,short,-364.26,-0.3608298075178126,100586.38000000003,sl,-364.26
48,72.44,72.22,1392.0,short,-306.24,-0.304454738305524,100280.14000000003,sl,-306.24
49,72.56,72.36,1385.0,short,-277.0,-0.27622617997940563,100003.14000000003,sl,-277.0
50,72.63,72.75,1374.0,short,164.88,0.16487482293055994,100168.02000000003,sl,164.88
51,73.0,72.5,1381.0,short,-690.5,-0.6893417679614708,99477.52000000003,sl,-690.5
52,73.1,73.1,0.0,long,0.0,0.0,99477.52000000003,sl,0.0
53,73.1,73.7,1360.0,long,816.0,0.8202858294014564,100293.52000000003,sl,816.0
54,73.73,73.62,1360.0,long,-149.6,-0.1491621791716952,100143.92000000003,sl,-149.6
55,73.53,73.15,1361.0,long,-517.18,-0.5164367442376929,99626.74000000003,sl,-517.18
56,73.13,72.53,1362.0,long,-817.2,-0.82026170885447,98809.54000000004,sl,-817.2
57,69.18,71.99,1372.0,short,3855.32,3.901768999228211,102664.86000000004,sl,3855.32
58,69.0,69.32,1481.0,short,473.92,0.4616185128972073,103138.78000000004,sl,473.92
59,69.78,69.82,1477.0,short,59.08,0.05728204270013663,103197.86000000004,sl,59.08
60,71.26,72.0,1448.0,long,1071.52,1.0383161046168976,104269.38000000005,sl,1071.52
61,71.99,71.67,1448.0,long,-463.36,-0.444387412680501,103806.02000000005,sl,-463.36
62,71.81,71.68,1445.0,long,-187.85,-0.18096252991878498,103618.17000000004,sl,-187.85
63,71.97,72.47,1439.0,long,719.5,0.6943762855491462,104337.67000000004,sl,719.5
64,72.35,72.68,1442.0,long,475.86,0.45607688958359893,104813.53000000004,sl,475.86
65,72.77,72.43,1440.0,long,-489.6,-0.46711526651187096,104323.93000000004,sl,-489.6
66,72.68,73.38,1435.0,long,1004.5,0.9628663337357015,105328.43000000004,sl,1004.5
67,73.24,73.38,1438.0,long,201.32,0.1911354797560354,105529.75000000004,sl,201.32
68,73.29,72.61,1439.0,long,-978.52,-0.9272456345248611,104551.23000000004,sl,-978.52
69,73.58,74.33,1420.0,long,1065.0,1.0186393789915238,105616.23000000004,sl,1065.0
70,74.0,73.59,1427.0,long,-585.07,-0.553958420973746,105031.16000000003,sl,-585.07
71,73.89,74.87,1421.0,long,1392.58,1.3258731980109517,106423.74000000003,sl,1392.58
72,74.49,74.1,1428.0,long,-556.92,-0.5233042928203799,105866.82000000004,sl,-556.92
73,74.85,74.93,1414.0,long,113.12,0.10685123063108912,105979.94000000003,sl,113.12
