,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,77.93,77.66,1283.0,long,-346.41,-0.34641000000000005,99653.59,,-346.41
2,76.97,76.61,1294.0,long,-465.84,-0.46745932585067934,99187.75,sl,-465.84
3,77.09,76.93,1289.0,short,-206.24,-0.20792890251064272,98981.51,sl,-206.24
4,75.04,74.63,1319.0,long,-540.79,-0.5463545666256253,98440.72,sl,-540.79
5,74.88,74.78,1314.0,long,-131.4,-0.13348134796250982,98309.32,sl,-131.4
6,76.21,75.93,1294.0,short,-362.32,-0.3685510183571608,97947.0,sl,-362.32
7,76.36,75.98,1289.0,short,-489.82,-0.5000867816267982,97457.18,sl,-489.82
8,77.1,77.14,1263.0,short,50.52,0.05183815086789912,97507.7,sl,50.52
9,81.26,81.48,1196.0,short,263.12,0.26984535580266994,97770.81999999999,sl,263.12
10,80.69,80.71,1211.0,short,24.22,0.024772217313918404,97795.04,sl,24.22
11,80.36,79.9,1216.0,long,-559.36,-0.5719717482604436,97235.68,sl,-559.36
12,78.29,77.9,1241.0,long,-483.99,-0.49774938582215916,96751.68999999999,sl,-483.99
13,77.66,77.36,1245.0,long,-373.5,-0.3860397684009448,96378.18999999999,sl,-373.5
14,77.89,78.29,1231.0,short,492.4,0.5109039711162868,96870.58999999998,sl,492.4
15,76.2,78.0,1241.0,short,2233.8,2.3059630379044873,99104.38999999998,sl,2233.8
16,75.12,74.69,1319.0,long,-567.17,-0.5722955360504213,98537.21999999999,sl,-567.17
17,73.75,74.05,1336.0,long,400.8,0.4067498555368216,98938.01999999999,sl,400.8
18,73.11,72.93,1353.0,long,-243.54,-0.2461541073896567,98694.48,sl,-243.54
19,72.31,72.8,1364.0,long,668.36,0.6772009944223831,99362.84,sl,668.36
20,71.74,71.72,1385.0,long,-27.7,-0.02787762507593382,99335.14,sl,-27.7
21,71.67,71.55,1386.0,long,-166.32,-0.16743319634924758,99168.81999999999,sl,-166.32
22,71.55,71.16,1386.0,long,-540.54,-0.5450705171242332,98628.28,sl,-540.54
23,70.93,70.85,1390.0,long,-111.2,-0.11274656721175713,98517.08,sl,-111.2
24,71.93,71.49,1378.0,short,-606.32,-0.6154465804305203,97910.76,sl,-606.32
25,71.98,71.96,1360.0,short,-27.2,-0.02778039921250739,97883.56,sl,-27.2
26,72.38,72.18,1356.0,short,-271.2,-0.2770638910149978,97612.36,sl,-271.2
27,73.34,73.38,1330.0,short,53.2,0.05450129471308757,97665.56,sl,53.2
28,71.99,71.8,1356.0,long,-257.64,-0.26379821095583744,97407.92,sl,-257.64
29,70.49,70.36,1381.0,long,-179.53,-0.18430739512762412,97228.39,sl,-179.53
30,72.44,72.22,1346.0,short,-296.12,-0.30456125006286744,96932.27,sl,-296.12
31,72.64,72.53,1336.0,short,-146.96,-0.15161101664079465,96785.31,sl,-146.96
32,72.63,72.64,1332.0,short,13.32,0.013762419110916729,96798.63,sl,13.32
33,74.18,73.6,1315.0,short,-762.7,-0.7879243745495158,96035.93000000001,sl,-762.7
34,69.94,69.32,1373.0,long,-851.26,-0.8863974139678763,95184.67000000001,sl,-851.26
35,69.78,69.49,1369.0,short,-397.01,-0.4170944754023941,94787.66000000002,sl,-397.01
36,71.81,71.68,1319.0,long,-171.47,-0.18089907483737858,94616.19000000002,sl,-171.47
37,71.91,72.47,1315.0,long,736.4,0.7783023180282358,95352.59000000001,sl,736.4
38,72.94,72.96,1306.0,short,26.12,0.02739306819038686,95378.71,sl,26.12
39,73.51,73.38,1297.0,long,-168.61,-0.17677949303361307,95210.1,sl,-168.61
40,75.32,75.11,1267.0,short,-266.07,-0.2794556459871379,94944.03,sl,-266.07
41,74.19,74.36,1279.0,long,217.43,0.2290086064389725,95161.45999999999,sl,217.43
