,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,163.48,191.06,130.0,short,3585.4,3.5854000000000004,103585.4,,3585.4
2,173.43,191.06,130.0,short,2291.9,2.2125704973866975,105877.29999999999,tp1,2291.9
3,174.04,191.06,130.0,short,2212.6,2.089777506604343,108089.9,tp1,2212.6
4,162.73,191.06,130.0,short,3682.9,3.4072563671536384,111772.79999999999,tp1,3682.9
5,162.73,191.06,130.0,short,3682.9,3.294987689312606,115455.69999999998,tp2,3682.9
6,162.73,191.06,133.0,short,3767.89,3.2634941367121764,119223.58999999998,tp4,3767.89
7,141.1,150.3,198.0,short,1821.6,1.5278855468116672,121045.18999999999,tp4,1821.6
8,141.1,150.3,198.0,short,1821.6,1.5048925116314,122866.79,tp1,1821.6
9,140.24,150.3,198.0,short,1991.88,1.621170374842543,124858.67,tp2,1991.88
10,159.98,150.3,198.0,short,-1916.64,-1.5350475862028645,122942.03,tp3,-1916.64
11,159.98,150.3,198.0,short,-1916.64,-1.558978650344394,121025.39,sl1,-1916.64
12,159.98,150.3,198.0,short,-1916.64,-1.5836676915480297,119108.75,sl2,-1916.64
13,159.98,150.3,199.0,short,-1926.32,-1.617278327578788,117182.43,sl4,-1926.32
14,159.6,162.51,183.0,long,532.53,0.4544452611197771,117714.95999999999,sl4,532.53
15,159.6,162.51,183.0,long,532.53,0.45238939893451097,118247.48999999999,tp1,532.53
16,159.6,162.51,183.0,long,532.53,0.4503520539844017,118780.01999999999,tp2,532.53
17,159.6,162.51,185.0,long,538.35,0.45323279117144455,119318.37,tp4,538.35
