,Buy price,Sell price,Quantity,Trade type,PNL,Return (%),Capital,Remark,PNL
0,0.0,0.0,0.0,None,0.0,0.0,100000.0,,0.0
1,199.53,197.61,506.0,short,-971.52,-0.97152,99028.48,,-971.52
2,201.92,200.27,490.0,long,-808.5,-0.8164317982059303,98219.98,sl,-808.5
3,198.83,199.09,493.0,long,128.18,0.13050297912909373,98348.15999999999,sl,128.18
4,199.61,199.13,492.0,long,-236.16,-0.24012650567128052,98111.99999999999,sl,-236.16
5,203.54,204.5,479.0,short,459.84,0.4686888454011742,98571.83999999998,sl,459.84
6,194.01,190.99,508.0,long,-1534.16,-1.5563877066716014,97037.67999999998,sl,-1534.16
7,183.06,180.97,530.0,long,-1107.7,-1.1415153371350184,95929.97999999998,sl,-1107.7
8,178.74,180.02,536.0,long,686.08,0.7151883071381857,96616.05999999998,sl,686.08
9,177.52,175.96,544.0,long,-848.64,-0.8783632866005923,95767.41999999998,sl,-848.64
10,179.34,179.4,533.0,short,31.98,0.03339340247445322,95799.39999999998,sl,31.98
11,176.05,175.28,544.0,long,-418.88,-0.4372469973715911,95380.51999999997,sl,-418.88
12,174.88,179.23,545.0,long,2370.75,2.485570428846478,97751.26999999997,sl,2370.75
13,178.78,178.3,548.0,short,-263.04,-0.2690911330359187,97488.22999999998,sl,-263.04
14,177.37,177.96,549.0,long,323.91,0.3322554938170486,97812.13999999998,sl,323.91
15,174.27,171.46,561.0,long,-1576.41,-1.6116711074923833,96235.72999999998,sl,-1576.41
16,166.66,164.21,577.0,long,-1413.65,-1.4689450581400487,94822.07999999999,sl,-1413.65
17,163.69,161.95,579.0,long,-1007.46,-1.0624740566754074,93814.61999999998,sl,-1007.46
18,174.03,171.64,546.0,short,-1304.94,-1.3909772272168244,92509.67999999998,sl,-1304.94
19,173.31,173.33,533.0,short,10.66,0.011523118445550781,92520.33999999998,sl,10.66
20,174.15,174.03,531.0,short,-63.72,-0.06887134223674493,92456.61999999998,sl,-63.72
21,172.26,171.67,538.0,short,-317.42,-0.3433177635089841,92139.19999999998,sl,-317.42
22,171.59,174.38,536.0,long,1495.44,1.6230225571743626,93634.63999999998,sl,1495.44
23,183.84,181.65,515.0,short,-1127.85,-1.2045221725634874,92506.78999999998,sl,-1127.85
24,175.94,177.66,520.0,short,894.4,0.9668479470534003,93401.18999999997,sl,894.4
25,172.08,164.01,542.0,long,-4373.94,-4.682959606831562,89027.24999999997,sl,-4373.94
26,168.18,168.01,529.0,short,-89.93,-0.10101401537169805,88937.31999999998,sl,-89.93
27,167.39,175.02,531.0,long,4051.53,4.555489191713896,92988.84999999998,sl,4051.53
28,173.4,172.09,540.0,short,-707.4,-0.7607363678548559,92281.44999999998,sl,-707.4
29,173.06,175.94,533.0,long,1535.04,1.663432900111561,93816.48999999998,sl,1535.04
30,172.07,170.51,550.0,short,-858.0,-0.914551375776263,92958.48999999998,sl,-858.0
31,173.03,172.19,539.0,short,-452.76,-0.4870561042891296,92505.72999999998,sl,-452.76
32,175.0,174.22,530.0,short,-413.4,-0.44689123581858126,92092.32999999999,sl,-413.4
33,173.4,175.35,525.0,short,1023.75,1.1116560955727801,93116.07999999999,sl,1023.75
34,170.99,168.73,544.0,long,-1229.44,-1.3203304950122472,91886.63999999998,sl,-1229.44
35,165.51,165.24,555.0,long,-149.85,-0.1630813794040135,91736.78999999998,sl,-149.85
36,163.17,162.04,562.0,long,-635.06,-0.6922631585430449,91101.72999999998,sl,-635.06
37,149.43,148.32,609.0,long,-675.99,-0.7420166444698691,90425.73999999998,sl,-675.99
38,148.37,148.15,609.0,long,-133.98,-0.14816577669145978,90291.75999999998,sl,-133.98
39,142.06,141.18,635.0,long,-558.8,-0.6188826089999797,89732.95999999998,sl,-558.8
40,145.65,145.11,618.0,short,-333.72,-0.37190347894463766,89399.23999999998,sl,-333.72
41,159.75,162.64,549.0,short,1586.61,1.7747466309556998,90985.84999999998,sl,1586.61
42,161.62,161.41,563.0,short,-118.23,-0.12994328238951444,90867.61999999998,sl,-118.23
43,164.29,164.66,551.0,short,203.87,0.2243593482474836,91071.48999999998,sl,203.87
44,169.89,169.37,537.0,short,-279.24,-0.30661626377255946,90792.24999999997,sl,-279.24
45,189.38,187.64,483.0,short,-840.42,-0.9256516938395074,89951.82999999997,sl,-840.42
46,184.43,183.69,487.0,long,-360.38,-0.4006366518613353,89591.44999999997,sl,-360.38
47,181.13,180.85,495.0,short,-138.6,-0.1547022623252554,89452.84999999996,sl,-138.6
48,183.01,185.1,483.0,short,1009.47,1.1284939496058544,90462.31999999996,sl,1009.47
49,177.5,180.25,509.0,long,1399.75,1.5473293189915984,91862.06999999996,sl,1399.75
50,180.42,184.1,498.0,short,1832.64,1.9949909685248772,93694.70999999996,sl,1832.64
51,184.7,184.99,506.0,short,146.74,0.15661503194790835,93841.44999999997,sl,146.74
52,177.92,171.69,527.0,long,-3283.21,-3.498677823072854,90558.23999999996,sl,-3283.21
53,172.52,172.26,524.0,long,-136.24,-0.1504446199484443,90421.99999999996,sl,-136.24
54,168.44,168.02,536.0,long,-225.12,-0.24896595961159906,90196.87999999996,sl,-225.12
55,171.75,174.97,515.0,short,1658.3,1.8385336610312915,91855.17999999996,sl,1658.3
56,176.94,178.74,513.0,short,923.4,1.0052780910123962,92778.57999999996,sl,923.4
57,174.08,174.28,532.0,long,106.4,0.11468164311202009,92884.97999999995,sl,106.4
58,176.77,179.04,518.0,short,1175.86,1.2659312625141337,94060.83999999995,sl,1175.86
